,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
34,35,"['12', '28', '53']",375588,39.975,2018-11-21,5.8,1194,39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904765,"['Adventure', 'Action', 'Thriller']",Adventure,Action,Thriller,,,,
35,36,"['35', '14', '10751']",35019,15.213,2010-08-20,6.1,953,93,Nanny Mcphee And The Big Bang,35000000.0,29197642.0,97799865.0,62799865,279.4281857142857,"['Comedy', 'Fantasy', 'Family']",Comedy,Fantasy,Family,,,,
36,37,"['35', '12', '14', '16', '10751']",10192,15.041,2010-05-16,6.1,3843,27,Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673,458.3301048484849,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Comedy,Adventure,Fantasy,Animation,Family,,
37,38,['35'],37735,14.69,2010-09-17,6.8,4168,67,Easy A,8000000.0,58401464.0,76200721.0,68200721,952.5090125,['Comedy'],Comedy,,,,,,
38,39,"['14', '12', '28', '35', '18']",27022,14.463,2010-07-13,5.9,2879,44,The Sorcerer'S Apprentice,160000000.0,63150991.0,217986320.0,57986320,136.24145,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",Fantasy,Adventure,Action,Comedy,Drama,,
39,40,"['28', '35', '10749']",22538,14.383,2010-08-13,7.3,3882,22,Scott Pilgrim Vs. The World,85000000.0,31611316.0,48056764.0,-36943236,56.5373694117647,"['Action', 'Comedy', 'Romance']",Action,Comedy,Romance,,,,
40,41,['35'],38365,14.291,2010-06-24,6.1,3171,34,Grown Ups,75000000.0,162001186.0,272223430.0,197223430,362.9645733333333,['Comedy'],Comedy,,,,,,
41,42,"['35', '10749']",239,14.2,1959-03-18,8.2,1562,82,Some Like It Hot,2883848.0,25000000.0,25019542.0,22135694,867.5749207309123,"['Comedy', 'Romance']",Comedy,Romance,,,,,
43,44,"['80', '18', '28', '53']",41283,14.172,2010-11-23,6.2,895,53,Faster,24000000.0,23240020.0,35792945.0,11792945,149.13727083333333,"['Crime', 'Drama', 'Action', 'Thriller']",Crime,Drama,Action,Thriller,,,
44,45,['27'],7978,14.03,2010-02-12,5.7,1009,91,The Wolfman,150000000.0,62189884.0,142634358.0,-7365642,95.089572,['Horror'],Horror,,,,,,
45,46,"['28', '53']",44048,14.01,2010-11-12,6.4,1913,19,Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421,"['Action', 'Thriller']",Action,Thriller,,,,,
47,48,"['18', '53']",44214,13.745,2010-12-03,7.6,8374,46,Black Swan,13000000.0,106954678.0,331266710.0,318266710,2548.205461538462,"['Drama', 'Thriller']",Drama,Thriller,,,,,
48,49,"['12', '28', '18']",23759,13.548,2010-02-15,6.1,673,46,Centurion,15000000.0,123570.0,7885048.0,-7114952,52.56698666666667,"['Adventure', 'Action', 'Drama']",Adventure,Action,Drama,,,,
49,50,"['28', '35', '80']",27581,13.508,2010-08-06,6.2,2187,74,The Other Guys,100000000.0,119219978.0,170936470.0,70936470,170.93647,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,
50,51,"['80', '18', '53']",23168,13.476,2010-09-17,7.1,2386,92,The Town,37000000.0,92186262.0,152566881.0,115566881,412.3429216216216,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,
51,52,"['28', '37', '18', '14', '53']",20533,13.467,2010-06-18,4.6,708,40,Jonah Hex,47000000.0,10547117.0,11022696.0,-35977304,23.452544680851062,"['Action', 'Western', 'Drama', 'Fantasy', 'Thriller']",Action,Western,Drama,Fantasy,Thriller,,
52,53,"['12', '28', '878']",20526,13.459,2010-12-10,6.3,4387,58,Tron: Legacy,200000000.0,172062763.0,400062763.0,200062763,200.0313815,"['Adventure', 'Action', 'ScienceFiction']",Adventure,Action,ScienceFiction,,,,
53,54,"['14', '18']",7980,13.285,2010-01-15,6.8,2226,22,The Lovely Bones,95000000.0,44114232.0,94894448.0,-105552,99.88889263157895,"['Fantasy', 'Drama']",Fantasy,Drama,,,,,
54,55,"['18', '12', '37']",44264,13.118,2010-12-22,7.2,2816,29,True Grit,35000000.0,171243005.0,252276928.0,217276928,720.7912228571429,"['Drama', 'Adventure', 'Western']",Drama,Adventure,Western,,,,
55,56,"['53', '80', '27']",43947,13.102,2010-10-08,6.3,977,37,I Spit On Your Grave,1750000.0,93051.0,1278471.0,-471529,73.05548571428572,"['Thriller', 'Crime', 'Horror']",Thriller,Crime,Horror,,,,
56,57,"['28', '80']",23483,13.08,2010-04-16,7.1,7540,54,Kick-Ass,28000000.0,48071303.0,97531134.0,69531134,348.32547857142856,"['Action', 'Crime']",Action,Crime,,,,,
57,58,"['28', '9648', '53']",27576,13.025,2010-07-23,6.3,3240,50,Salt,130000000.0,118311368.0,290650494.0,160650494,223.57730307692307,"['Action', 'Mystery', 'Thriller']",Action,Mystery,Thriller,,,,
59,60,"['28', '80', '53']",26389,12.862,2010-02-05,6.2,1075,75,From Paris With Love,52000000.0,24077427.0,53139168.0,1139168,102.1907076923077,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,
60,61,"['35', '10751', '14']",23023,12.65,2010-01-22,5.3,1058,23,Tooth Fairy,48000000.0,60022256.0,112610386.0,64610386,234.6049708333333,"['Comedy', 'Family', 'Fantasy']",Comedy,Family,Fantasy,,,,
61,62,"['28', '35', '53']",23631,12.557,2010-09-03,6.3,1862,18,Machete,12500000.0,26593646.0,46370970.0,33870970,370.96776,"['Action', 'Comedy', 'Thriller']",Action,Comedy,Thriller,,,,
62,63,['35'],35056,12.498,2010-04-08,6.0,1743,99,Date Night,55000000.0,98711404.0,152269033.0,97269033,276.8527872727273,['Comedy'],Comedy,,,,,,
63,64,"['35', '18']",41733,12.445,2010-11-04,6.3,2973,84,Due Date,65000000.0,100539043.0,211739043.0,146739043,325.75237384615383,"['Comedy', 'Drama']",Comedy,Drama,,,,,
64,65,"['28', '878', '53', '80']",31867,12.437,2010-03-19,6.2,976,13,Repo Men,32000000.0,13942007.0,18195238.0,-13804762,56.86011875,"['Action', 'ScienceFiction', 'Thriller', 'Crime']",Action,ScienceFiction,Thriller,Crime,,,
65,66,"['28', '12', '18', '10751']",38575,12.255999999999998,2010-06-10,6.3,3140,77,The Karate Kid,40000000.0,176591618.0,351774938.0,311774938,879.437345,"['Action', 'Adventure', 'Drama', 'Family']",Action,Adventure,Drama,Family,,,
66,67,"['35', '10751']",33217,12.255999999999998,2010-03-19,6.0,736,13,Diary Of A Wimpy Kid,15000000.0,64003625.0,76954311.0,61954311,513.02874,"['Comedy', 'Family']",Comedy,Family,,,,,
67,68,"['9648', '27', '28']",29427,12.246,2010-02-26,6.2,1036,36,The Crazies,19000000.0,39123589.0,56445534.0,37445534,297.0817578947368,"['Mystery', 'Horror', 'Action']",Mystery,Horror,Action,,,,
68,69,"['35', '10749']",39451,12.153,2010-12-21,5.6,1883,70,Little Fockers,100000000.0,148438600.0,310650574.0,210650574,310.650574,"['Comedy', 'Romance']",Comedy,Romance,,,,,
69,70,"['28', '12', '35', '80', '53']",39514,12.082,2010-10-14,6.6,4162,63,Red,60000000.0,90380162.0,196439693.0,136439693,327.3994883333333,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Action,Adventure,Comedy,Crime,Thriller,,
70,72,"['18', '10749', '10752']",22971,12.048,2010-02-04,6.8,2676,77,Dear John,25000000.0,80014842.0,142033509.0,117033509,568.134036,"['Drama', 'Romance', 'War']",Drama,Romance,War,,,,
71,73,['27'],22894,12.032,2010-01-22,5.3,1154,37,Legion,26000000.0,40168080.0,67647574.0,41647574,260.1829769230769,['Horror'],Horror,,,,,,
73,75,"['10749', '35']",25195,11.821,2010-01-08,6.7,990,40,Leap Year,19000000.0,25918920.0,32618920.0,13618920,171.67852631578947,"['Romance', 'Comedy']",Romance,Comedy,,,,,
74,76,"['18', '35', '10749']",63555,2.563,2011-06-24,5.6,30,40,Leap Year,19000000.0,25918920.0,32618920.0,13618920,171.67852631578947,"['Drama', 'Comedy', 'Romance']",Drama,Comedy,Romance,,,,
75,77,"['35', '10749', '18']",38408,11.806,2010-10-02,6.8,1748,64,Life As We Know It,38000000.0,53374681.0,105887837.0,67887837,278.6522026315789,"['Comedy', 'Romance', 'Drama']",Comedy,Romance,Drama,,,,
76,78,"['18', '53']",38363,11.624,2010-05-20,6.6,384,90,Fair Game,50000000.0,11497497.0,26097497.0,-23902503,52.194994,"['Drama', 'Thriller']",Drama,Thriller,,,,,
77,79,"['10752', '28', '12', '18', '53']",22972,11.519,2010-03-11,6.4,1176,98,Green Zone,100000000.0,35497337.0,97523020.0,-2476980,97.52302,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",War,Action,Adventure,Drama,Thriller,,
78,80,"['18', '10749']",23169,11.453,2010-03-12,7.1,2079,51,Remember Me,16000000.0,19068240.0,56506120.0,40506120,353.16325,"['Drama', 'Romance']",Drama,Romance,,,,,
79,81,"['12', '18', '53']",44115,11.435,2010-11-05,7.0,4469,6,127 Hours,18000000.0,18335230.0,60217171.0,42217171,334.5398388888889,"['Adventure', 'Drama', 'Thriller']",Adventure,Drama,Thriller,,,,
80,82,"['35', '27']",43593,11.302,2010-08-20,5.3,1029,52,Piranha 3D,24000000.0,25003155.0,83660160.0,59660160,348.584,"['Comedy', 'Horror']",Comedy,Horror,,,,,
81,83,"['12', '18', '28', '14']",37861,11.26,2010-07-16,6.0,582,7,Valhalla Rising,5700000.0,30638.0,731613.0,-4968387,12.835315789473684,"['Adventure', 'Drama', 'Action', 'Fantasy']",Adventure,Drama,Action,Fantasy,,,
82,84,"['80', '18', '9648', '53']",12201,11.252,2010-01-29,6.3,794,8,Edge Of Darkness,60000000.0,43313890.0,82812456.0,22812456,138.02076,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime,Drama,Mystery,Thriller,,,
84,86,"['35', '10749']",32856,11.187,2010-02-11,5.8,1907,70,Valentine'S Day,52000000.0,110485654.0,217569328.0,165569328,418.40255384615386,"['Comedy', 'Romance']",Comedy,Romance,,,,,
85,87,"['10749', '18', '53', '80']",43539,11.147,2010-11-19,7.0,1469,49,The Next Three Days,30000000.0,21148651.0,67255916.0,37255916,224.1863866666667,"['Romance', 'Drama', 'Thriller', 'Crime']",Romance,Drama,Thriller,Crime,,,
