,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
313,322,"['16', '10751']",49444,17.363,2011-05-25,6.7,3628,74,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,514837547,443.2250313333333,"['Animation', 'Family']",Animation,Family,,,,,
314,323,"['12', '28', '53', '878']",44912,17.257,2011-06-17,5.1,4290,62,Green Lantern,200000000.0,116601172.0,219535492.0,19535492,109.76774600000002,"['Adventure', 'Action', 'Thriller', 'ScienceFiction']",Adventure,Action,Thriller,ScienceFiction,,,
315,324,"['878', '18', '10749', '14']",31011,17.242,2011-12-20,7.9,3279,43,Mr. Nobody,46500000.0,3622.0,22254.0,-46477746,0.047858064516129,"['ScienceFiction', 'Drama', 'Romance', 'Fantasy']",ScienceFiction,Drama,Romance,Fantasy,,,
316,325,"['12', '14', '28']",37430,17.046,2011-08-19,5.2,1024,76,Conan The Barbarian,90000000.0,21295021.0,63356133.0,-26643867,70.39570333333333,"['Adventure', 'Fantasy', 'Action']",Adventure,Fantasy,Action,,,,
317,326,"['18', '36', '10752']",387,16.554000000000002,1982-02-10,8.1,981,3,Das Boot,12000000.0,11487676.0,84970337.0,72970337,708.0861416666667,"['Drama', 'History', 'War']",Drama,History,War,,,,
318,327,"['16', '10751', '12', '35', '14']",41513,16.533,2011-07-29,5.6,2112,20,The Smurfs,110000000.0,142614158.0,563749323.0,453749323,512.4993845454545,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",Animation,Family,Adventure,Comedy,Fantasy,,
319,328,"['27', '53']",49018,16.197,2011-04-01,6.9,3582,63,Insidious,1500000.0,54009150.0,99870886.0,98370886,6658.059066666667,"['Horror', 'Thriller']",Horror,Thriller,,,,,
320,329,"['27', '9648']",41446,16.082,2011-04-11,6.2,1610,55,Scream 4,40000000.0,38180928.0,95989590.0,55989590,239.973975,"['Horror', 'Mystery']",Horror,Mystery,,,,,
321,330,"['27', '28', '53', '80']",755,16.064,1996-01-19,7.0,3015,77,From Dusk Till Dawn,20000000.0,25728961.0,25732986.0,5732986,128.66493,"['Horror', 'Action', 'Thriller', 'Crime']",Horror,Action,Thriller,Crime,,,
322,331,"['80', '35', '28']",38322,16.024,2011-02-18,5.5,623,1,"Big Mommas: Like Father, Like Son",32000000.0,37915414.0,82332450.0,50332450,257.28890625,"['Crime', 'Comedy', 'Action']",Crime,Comedy,Action,,,,
323,332,"['18', '28', '53', '80']",64690,15.875,2011-09-16,7.5,6737,36,Drive,15000000.0,35060689.0,81357930.0,66357930,542.3861999999999,"['Drama', 'Action', 'Thriller', 'Crime']",Drama,Action,Thriller,Crime,,,
324,333,"['80', '12', '28', '35', '53']",58233,15.542,2011-10-21,6.1,1810,19,Johnny English Reborn,45000000.0,8406711.0,164640401.0,119640401,365.8675577777778,"['Crime', 'Adventure', 'Action', 'Comedy', 'Thriller']",Crime,Adventure,Action,Comedy,Thriller,,
325,334,['18'],59440,15.478,2011-09-09,7.8,2189,74,Warrior,25000000.0,13657115.0,24215385.0,-784615,96.86154,['Drama'],Drama,,,,,,
326,335,['18'],60308,15.393,2011-09-22,7.1,2255,15,Moneyball,50000000.0,75605492.0,111300835.0,61300835,222.60167,['Drama'],Drama,,,,,,
327,336,"['27', '35', '53']",22970,15.336,2012-04-12,6.5,4185,11,The Cabin In The Woods,30000000.0,42073277.0,70689968.0,40689968,235.63322666666667,"['Horror', 'Comedy', 'Thriller']",Horror,Comedy,Thriller,,,,
328,337,"['14', '27']",38321,15.318,2011-05-13,5.5,1157,29,Priest,60000000.0,29136626.0,84154026.0,24154026,140.25671,"['Fantasy', 'Horror']",Fantasy,Horror,,,,,
329,338,"['12', '35', '878']",39513,15.234000000000002,2011-03-17,6.5,3017,58,Paul,40000000.0,37412945.0,101162106.0,61162106,252.905265,"['Adventure', 'Comedy', 'ScienceFiction']",Adventure,Comedy,ScienceFiction,,,,
330,339,"['28', '12', '53']",49021,15.135,2011-09-23,6.2,1093,38,Killer Elite,70000000.0,25124986.0,65409046.0,-4590954,93.44149428571428,"['Action', 'Adventure', 'Thriller']",Action,Adventure,Thriller,,,,
331,340,"['28', '35', '80']",90,15.067,1984-11-30,7.1,1827,93,Beverly Hills Cop,15000000.0,234760478.0,316300000.0,301300000,2108.6666666666665,"['Action', 'Comedy', 'Crime']",Action,Comedy,Crime,,,,
332,341,"['10402', '35', '28', '80']",525,14.882,1980-06-17,7.7,1972,95,The Blues Brothers,27000000.0,57229890.0,57229890.0,30229890,211.96255555555555,"['Music', 'Comedy', 'Action', 'Crime']",Music,Comedy,Action,Crime,,,
333,342,"['28', '878', '18']",39254,14.811,2011-10-06,6.8,4566,31,Real Steel,110000000.0,85463309.0,263880341.0,153880341,239.8912190909091,"['Action', 'ScienceFiction', 'Drama']",Action,ScienceFiction,Drama,,,,
334,343,"['14', '28', '18']",37958,14.774,2011-11-11,5.8,1431,45,Immortals,75000000.0,83504017.0,211562435.0,136562435,282.0832466666667,"['Fantasy', 'Action', 'Drama']",Fantasy,Action,Drama,,,,
335,344,"['16', '35', '10751']",50359,14.738,2011-04-01,5.6,611,27,Hop,63000000.0,108085305.0,188657593.0,125657593,299.4564968253968,"['Animation', 'Comedy', 'Family']",Animation,Comedy,Family,,,,
336,345,"['53', '28', '80']",8068,14.712,1995-08-25,6.8,1440,2,Desperado,7000000.0,25532388.0,25532388.0,18532388,364.7484,"['Thriller', 'Action', 'Crime']",Thriller,Action,Crime,,,,
337,346,"['16', '12', '35', '10751']",46195,14.695,2011-04-15,6.6,3730,46,Rio,90000000.0,143619809.0,487519809.0,397519809,541.6886766666667,"['Animation', 'Adventure', 'Comedy', 'Family']",Animation,Adventure,Comedy,Family,,,
338,347,['53'],8978,14.525,2005-01-19,6.1,501,52,Assault On Precinct 13,30000000.0,20040895.0,36040895.0,6040895,120.13631666666666,['Thriller'],Thriller,,,,,,
339,348,"['28', '80', '35']",40805,14.501,2011-01-13,5.5,1897,29,The Green Hornet,110000000.0,98780042.0,229155503.0,119155503,208.32318454545452,"['Action', 'Crime', 'Comedy']",Action,Crime,Comedy,,,,
340,349,"['16', '35', '10751', '37', '12']",44896,14.462,2011-03-03,6.6,3412,29,Rango,135000000.0,123477607.0,245724600.0,110724600,182.01822222222225,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",Animation,Comedy,Family,Western,Adventure,,
341,350,"['28', '14', '53']",23629,14.416,2011-03-25,6.0,2716,62,Sucker Punch,75000000.0,36392502.0,89758389.0,14758389,119.677852,"['Action', 'Fantasy', 'Thriller']",Action,Fantasy,Thriller,,,,
342,351,"['53', '878', '9648']",37686,14.39,2011-06-09,6.7,3934,93,Super 8,50000000.0,127004179.0,257972745.0,207972745,515.9454900000001,"['Thriller', 'ScienceFiction', 'Mystery']",Thriller,ScienceFiction,Mystery,,,,
343,352,"['28', '53', '80']",27582,14.387,2011-01-28,6.3,1676,42,The Mechanic,42500000.0,29121498.0,76347393.0,33847393,179.64092470588236,"['Action', 'Thriller', 'Crime']",Action,Thriller,Crime,,,,
344,353,"['35', '10749']",41630,14.203,2011-01-21,6.2,2612,84,No Strings Attached,25000000.0,70662220.0,149228078.0,124228078,596.912312,"['Comedy', 'Romance']",Comedy,Romance,,,,,
345,354,"['14', '53', '28', '80']",47327,14.095999999999998,2011-02-24,5.3,959,91,Drive Angry,50000000.0,10721033.0,41042583.0,-8957417,82.085166,"['Fantasy', 'Thriller', 'Action', 'Crime']",Fantasy,Thriller,Action,Crime,,,
346,355,"['35', '80']",51540,14.058,2011-07-08,6.5,3842,34,Horrible Bosses,35000000.0,117538559.0,212417601.0,177417601,606.9074314285715,"['Comedy', 'Crime']",Comedy,Crime,,,,,
347,356,"['10749', '35']",50544,14.019,2011-07-21,6.6,4637,55,Friends With Benefits,35000000.0,55802754.0,146595891.0,111595891,418.8454028571429,"['Romance', 'Comedy']",Romance,Comedy,,,,,
348,357,"['28', '12', '18', '53']",2320,13.86,1996-03-15,6.1,402,15,Executive Decision,55000000.0,56679192.0,122079192.0,67079192,221.96216727272727,"['Action', 'Adventure', 'Drama', 'Thriller']",Action,Adventure,Drama,Thriller,,,
349,358,"['878', '53', '10749']",38050,13.717,2011-03-04,6.6,2615,81,The Adjustment Bureau,50200000.0,62495645.0,126931325.0,76731325,252.85124501992036,"['ScienceFiction', 'Thriller', 'Romance']",ScienceFiction,Thriller,Romance,,,,
350,359,['35'],52449,13.549,2011-06-19,5.5,2894,27,Bad Teacher,19000000.0,100292856.0,215448997.0,196448997,1133.942089473684,['Comedy'],Comedy,,,,,,
351,360,"['28', '12', '53', '18']",9619,13.514,1997-02-07,5.9,783,9,Dante'S Peak,115000000.0,67163857.0,178200000.0,63200000,154.95652173913044,"['Action', 'Adventure', 'Thriller', 'Drama']",Action,Adventure,Thriller,Drama,,,
352,361,"['53', '878', '9648']",45612,13.495,2011-04-01,7.2,4529,96,Source Code,32000000.0,54712227.0,140428499.0,108428499,438.839059375,"['Thriller', 'ScienceFiction', 'Mystery']",Thriller,ScienceFiction,Mystery,,,,
353,362,"['27', '9648']",55779,13.392,2011-08-12,6.0,1701,49,Final Destination 5,40000000.0,42587643.0,155011165.0,115011165,387.5279125,"['Horror', 'Mystery']",Horror,Mystery,,,,,
354,363,"['14', '35', '10749']",59436,13.171,2011-05-20,7.5,3965,83,Midnight In Paris,30000000.0,56816662.0,162502774.0,132502774,541.6759133333334,"['Fantasy', 'Comedy', 'Romance']",Fantasy,Comedy,Romance,,,,
355,364,['18'],76025,13.152,2011-12-02,7.0,1607,97,Shame,6500000.0,4002293.0,20412841.0,13912841,314.0437076923077,['Drama'],Drama,,,,,,
357,366,"['10752', '18']",26372,7.642,1968-12-23,7.8,77,97,Shame,6500000.0,4002293.0,20412841.0,13912841,314.0437076923077,"['War', 'Drama']",War,Drama,,,,,
358,367,"['18', '28']",70006,13.06,2011-09-13,6.0,257,64,Never Back Down 2: The Beatdown,3000000.0,0.0,0.0,-3000000,0.0,"['Drama', 'Action']",Drama,Action,,,,,
359,368,"['18', '16', '10751', '35']",51052,12.981,2011-11-23,6.7,692,14,Arthur Christmas,85000000.0,46462469.0,149717124.0,64717124,176.13779294117646,"['Drama', 'Animation', 'Family', 'Comedy']",Drama,Animation,Family,Comedy,,,
360,369,"['18', '53', '28', '12']",75174,12.942,2012-01-27,6.5,2280,95,The Grey,25000000.0,51580136.0,81249176.0,56249176,324.996704,"['Drama', 'Thriller', 'Action', 'Adventure']",Drama,Thriller,Action,Adventure,,,
361,370,"['12', '18', '10751']",44826,12.936,2011-11-23,7.1,4124,89,Hugo,180000000.0,73864507.0,180047784.0,47784,100.02654666666666,"['Adventure', 'Drama', 'Family']",Adventure,Drama,Family,,,,
362,371,"['28', '878']",44943,12.720999999999998,2011-03-08,5.6,2049,10,Battle: Los Angeles,70000000.0,83552429.0,213463976.0,143463976,304.9485371428571,"['Action', 'ScienceFiction']",Action,ScienceFiction,,,,,
363,372,"['18', '53']",48289,12.697,2011-08-31,6.6,403,65,The Debt,20000000.0,31177548.0,46604054.0,26604054,233.02027,"['Drama', 'Thriller']",Drama,Thriller,,,,,
364,373,"['35', '14', '10751', '10402', '16']",55301,12.672,2011-12-16,5.5,1055,49,Alvin And The Chipmunks: Chipwrecked,80000000.0,133107389.0,349088523.0,269088523,436.36065375,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",Comedy,Fantasy,Family,Music,Animation,,
365,374,['18'],50014,12.598,2011-08-10,8.1,3944,63,The Help,25000000.0,169705587.0,213120004.0,188120004,852.480016,['Drama'],Drama,,,,,,
366,375,"['12', '14', '28']",23047,12.535,2011-01-07,5.3,1352,89,Season Of The Witch,40000000.0,24827228.0,91126600.0,51126600,227.8165,"['Adventure', 'Fantasy', 'Action']",Adventure,Fantasy,Action,,,,
367,376,"['9648', '53']",11033,12.481,1980-06-25,6.8,300,89,Dressed To Kill,6500000.0,31899000.0,31899000.0,25399000,490.75384615384615,"['Mystery', 'Thriller']",Mystery,Thriller,,,,,
368,377,"['35', '18']",40807,12.451,2011-09-30,7.1,2111,73,50/50,8000000.0,35016118.0,41334735.0,33334735,516.6841875,"['Comedy', 'Drama']",Comedy,Drama,,,,,
369,378,"['27', '878', '9648', '53']",60935,12.349,2011-10-14,6.1,1404,77,The Thing,38000000.0,16999934.0,27573078.0,-10426922,72.56073157894737,"['Horror', 'ScienceFiction', 'Mystery', 'Thriller']",Horror,ScienceFiction,Mystery,Thriller,,,
370,379,"['28', '35']",59108,12.213,2011-11-04,6.0,1592,5,Tower Heist,85000000.0,78046570.0,150422946.0,65422946,176.9681717647059,"['Action', 'Comedy']",Action,Comedy,,,,,
371,380,['35'],49520,12.122,2011-08-05,6.0,1406,72,The Change-Up,52000000.0,37243418.0,75997067.0,23997067,146.14820576923077,['Comedy'],Comedy,,,,,,
372,381,['18'],75900,12.081,2011-11-23,6.7,741,22,My Week With Marilyn,10000000.0,14597405.0,34240572.0,24240572,342.40572,['Drama'],Drama,,,,,,
373,382,"['28', '9648', '53']",48138,12.08,2011-02-18,6.6,2043,21,Unknown,40000000.0,63686397.0,136123083.0,96123083,340.3077075,"['Action', 'Mystery', 'Thriller']",Action,Mystery,Thriller,,,,
374,383,"['27', '35']",58151,12.078,2011-08-19,6.0,1024,58,Fright Night,30000000.0,18298649.0,40520649.0,10520649,135.06883000000002,"['Horror', 'Comedy']",Horror,Comedy,,,,,
375,384,"['878', '28', '12']",97,12.063,1982-07-09,6.6,1100,89,Tron,17000000.0,26918576.0,26918576.0,9918576,158.34456470588236,"['ScienceFiction', 'Action', 'Adventure']",ScienceFiction,Action,Adventure,,,,
376,385,"['18', '35']",23514,12.011,2011-10-27,5.7,652,16,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268,47.87718222222222,"['Drama', 'Comedy']",Drama,Comedy,,,,,
377,386,"['12', '16', '9648']",17578,11.981,2011-12-20,6.8,3251,52,The Adventures Of Tintin,130000000.0,77591831.0,373993951.0,243993951,287.68765461538464,"['Adventure', 'Animation', 'Mystery']",Adventure,Animation,Mystery,,,,
378,387,"['18', '53']",71859,11.964,2011-12-09,7.6,1306,43,We Need To Talk About Kevin,7000000.0,1738692.0,10765283.0,3765283,153.78975714285716,"['Drama', 'Thriller']",Drama,Thriller,,,,,
379,388,"['12', '28', '53']",52451,11.932,2011-10-20,5.7,1596,77,The Three Musketeers,90000000.0,20377913.0,139877913.0,49877913,155.41990333333334,"['Adventure', 'Action', 'Thriller']",Adventure,Action,Thriller,,,,
380,389,"['80', '18', '53', '9648']",70578,11.909,2011-10-14,5.5,589,54,Trespass,35000000.0,16816.0,786532.0,-34213468,2.2472342857142857,"['Crime', 'Drama', 'Thriller', 'Mystery']",Crime,Drama,Thriller,Mystery,,,
381,390,"['14', '53', '27']",49730,11.856,2011-03-11,5.9,1884,55,Red Riding Hood,42000000.0,37662162.0,91678442.0,49678442,218.2820047619048,"['Fantasy', 'Thriller', 'Horror']",Fantasy,Thriller,Horror,,,,
382,391,"['80', '18', '53']",50348,11.812,2011-03-18,7.1,1525,25,The Lincoln Lawyer,40000000.0,58009200.0,87145086.0,47145086,217.862715,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,
383,392,['35'],57431,11.571,2011-12-09,5.4,472,32,The Sitter,25000000.0,30542576.0,38749404.0,13749404,154.997616,['Comedy'],Comedy,,,,,,
384,393,"['18', '14']",8967,11.569,2011-05-27,6.6,1730,24,The Tree Of Life,35000000.0,13305665.0,61721826.0,26721826,176.3480742857143,"['Drama', 'Fantasy']",Drama,Fantasy,,,,,
385,394,"['28', '53', '878', '12']",46529,11.555,2011-02-18,6.0,2805,28,I Am Number Four,50000000.0,55100437.0,146195159.0,96195159,292.390318,"['Action', 'Thriller', 'ScienceFiction', 'Adventure']",Action,Thriller,ScienceFiction,Adventure,,,
386,395,"['35', '28', '18']",45132,11.36,2011-03-31,6.6,726,34,Super,2500000.0,327716.0,593933.0,-1906067,23.75732,"['Comedy', 'Action', 'Drama']",Comedy,Action,Drama,,,,
387,396,"['35', '10751', '10402']",64328,11.324000000000002,2011-11-23,6.6,831,64,The Muppets,45000000.0,88625922.0,160971922.0,115971922,357.7153822222222,"['Comedy', 'Family', 'Music']",Comedy,Family,Music,,,,
388,397,"['35', '18', '10749']",50725,11.321,2011-03-04,6.1,339,48,Take Me Home Tonight,19000000.0,6928068.0,7576604.0,-11423396,39.87686315789474,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
389,398,"['28', '12', '35']",62206,11.315,2011-08-12,5.6,825,60,30 Minutes Or Less,28000000.0,37053924.0,40966716.0,12966716,146.30970000000002,"['Action', 'Adventure', 'Comedy']",Action,Adventure,Comedy,,,,
390,399,['35'],71880,11.277,2011-11-11,4.1,1124,11,Jack And Jill,79000000.0,74158157.0,150519217.0,71519217,190.5306544303797,['Comedy'],Comedy,,,,,,
391,400,"['53', '18']",64720,11.236,2011-09-30,7.2,787,9,Take Shelter,4750000.0,1728953.0,4972016.0,222016,104.67402105263156,"['Thriller', 'Drama']",Thriller,Drama,,,,,
392,401,"['16', '10751']",51162,11.147,2011-07-14,6.9,444,39,Winnie The Pooh,30000000.0,26692846.0,50145607.0,20145607,167.15202333333335,"['Animation', 'Family']",Animation,Family,,,,,
393,402,"['18', '878']",62215,11.123,2011-11-11,7.1,1642,62,Melancholia,9400000.0,3030848.0,21817298.0,12417298,232.098914893617,"['Drama', 'ScienceFiction']",Drama,ScienceFiction,,,,,
394,403,"['18', '10402']",786,11.022,2000-09-15,7.5,1339,22,Almost Famous,60000000.0,32522352.0,47371191.0,-12628809,78.95198500000001,"['Drama', 'Music']",Drama,Music,,,,,
395,404,"['12', '35', '10749']",59860,11.017,2011-07-01,6.2,1193,84,Monte Carlo,20000000.0,23186769.0,39686769.0,19686769,198.433845,"['Adventure', 'Comedy', 'Romance']",Adventure,Comedy,Romance,,,,
396,405,"['18', '53', '9648']",49517,10.831,2011-12-09,6.7,1402,72,Tinker Tailor Soldier Spy,21000000.0,24149393.0,81452811.0,60452811,387.87052857142857,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,
397,406,"['35', '10749', '10751']",38317,10.764,2011-07-08,5.3,886,71,Zookeeper,80000000.0,80360866.0,170805525.0,90805525,213.50690625,"['Comedy', 'Romance', 'Family']",Comedy,Romance,Family,,,,
398,407,"['27', '28', '53', '878']",71469,10.73,2011-12-25,4.9,735,58,The Darkest Hour,34800000.0,21443494.0,62831715.0,28031715,180.5509051724138,"['Horror', 'Action', 'Thriller', 'ScienceFiction']",Horror,Action,Thriller,ScienceFiction,,,
399,408,"['35', '18']",13342,10.705,1982-08-13,6.9,563,27,Fast Times At Ridgemont High,4500000.0,27092880.0,27092880.0,22592880,602.0640000000001,"['Comedy', 'Drama']",Comedy,Drama,,,,,
400,409,"['18', '10751']",62837,10.679,2011-09-23,6.8,327,93,Dolphin Tale,37000000.0,72286779.0,96068724.0,59068724,259.64520000000005,"['Drama', 'Family']",Drama,Family,,,,,
401,410,"['28', '53', '80', '18']",62835,10.584,2011-08-26,6.5,1371,60,Colombiana,40000000.0,36665854.0,72295262.0,32295262,180.738155,"['Action', 'Thriller', 'Crime', 'Drama']",Action,Thriller,Crime,Drama,,,
402,411,"['28', '12', '80', '53']",9691,10.579,1995-10-06,6.2,666,63,Assassins,50000000.0,30306268.0,83306268.0,33306268,166.612536,"['Action', 'Adventure', 'Crime', 'Thriller']",Action,Adventure,Crime,Thriller,,,
404,413,"['12', '14']",11976,10.542,1986-04-18,6.2,509,63,Legend,25000000.0,15502112.0,23506237.0,-1493763,94.024948,"['Adventure', 'Fantasy']",Adventure,Fantasy,,,,,
405,414,"['80', '53']",276907,10.195,2015-11-20,6.8,1692,63,Legend,25000000.0,15502112.0,23506237.0,-1493763,94.024948,"['Crime', 'Thriller']",Crime,Thriller,,,,,
406,415,"['35', '18']",65057,10.444,2011-11-18,6.8,1522,5,The Descendants,20000000.0,82624961.0,175507800.0,155507800,877.539,"['Comedy', 'Drama']",Comedy,Drama,,,,,
407,416,"['18', '53', '878']",39538,10.444,2011-09-09,6.3,2128,71,Contagion,60000000.0,75658097.0,137551594.0,77551594,229.25265666666667,"['Drama', 'Thriller', 'ScienceFiction']",Drama,Thriller,ScienceFiction,,,,
408,417,"['35', '10749']",63492,10.390999999999998,2011-09-30,6.4,1271,24,What'S Your Number?,20000000.0,14011084.0,30163785.0,10163785,150.818925,"['Comedy', 'Romance']",Comedy,Romance,,,,,
409,418,"['18', '10752']",57212,10.378,2011-12-25,7.2,1849,12,War Horse,70000000.0,79883359.0,156815529.0,86815529,224.02218428571427,"['Drama', 'War']",Drama,War,,,,,
410,419,"['9648', '27', '53']",74777,10.357,2011-03-03,5.9,175,6,Absentia,70000.0,0.0,8555.0,-61445,12.221428571428572,"['Mystery', 'Horror', 'Thriller']",Mystery,Horror,Thriller,,,,
411,420,"['18', '53']",48231,10.352,2011-11-23,6.3,1066,69,A Dangerous Method,20000000.0,5702083.0,14807531.0,-5192469,74.037655,"['Drama', 'Thriller']",Drama,Thriller,,,,,
412,421,"['18', '10749', '35']",55347,10.322,2011-06-17,6.9,532,57,Beginners,3200000.0,5790894.0,14314407.0,11114407,447.32521875,"['Drama', 'Romance', 'Comedy']",Drama,Romance,Comedy,,,,
413,422,"['18', '10749']",51828,10.308,2011-08-19,7.2,2105,84,One Day,15000000.0,13843771.0,59168692.0,44168692,394.45794666666666,"['Drama', 'Romance']",Drama,Romance,,,,,
414,423,"['18', '10402', '10749']",68817,10.269,2011-10-14,6.6,929,39,Footloose,24000000.0,51802742.0,62989834.0,38989834,262.4576416666667,"['Drama', 'Music', 'Romance']",Drama,Music,Romance,,,,
415,424,"['10749', '12', '28', '36']",38543,10.202,2011-07-08,6.1,373,25,Ironclad,25000000.0,0.0,5297411.0,-19702589,21.189644,"['Romance', 'Adventure', 'Action', 'History']",Romance,Adventure,Action,History,,,
416,425,"['35', '18']",72113,10.181,2011-12-16,7.1,1478,7,Carnage,25000000.0,2546747.0,38112154.0,13112154,152.448616,"['Comedy', 'Drama']",Comedy,Drama,,,,,
417,426,"['28', '35', '53', '80']",67913,10.177,2011-07-29,6.9,563,54,The Guard,6000000.0,5359774.0,21197454.0,15197454,353.2909,"['Action', 'Comedy', 'Thriller', 'Crime']",Action,Comedy,Thriller,Crime,,,
418,427,"['18', '35', '10749']",74643,10.155,2011-10-14,7.4,1787,34,The Artist,16000000.0,44667095.0,128256712.0,112256712,801.6044499999999,"['Drama', 'Comedy', 'Romance']",Drama,Comedy,Romance,,,,
419,428,"['18', '14', '10749', '878']",38117,10.136,2011-03-04,6.1,1748,87,Beastly,17000000.0,27865571.0,38028230.0,21028230,223.69547058823528,"['Drama', 'Fantasy', 'Romance', 'ScienceFiction']",Drama,Fantasy,Romance,ScienceFiction,,,
420,429,"['18', '28']",77635,10.128,2011-10-01,6.3,50,81,Miss Bala,15000000.0,14998027.0,15362298.0,362298,102.41532,"['Drama', 'Action']",Drama,Action,,,,,
421,430,['18'],10316,10.127,2011-10-07,6.7,1405,76,The Ides Of March,23000000.0,40962534.0,77735925.0,54735925,337.98228260869564,['Drama'],Drama,,,,,,
422,431,"['18', '10749']",60420,10.091,2011-10-28,6.5,638,74,Like Crazy,250000.0,3395391.0,3728400.0,3478400,1491.36,"['Drama', 'Romance']",Drama,Romance,,,,,
423,432,"['18', '878']",55420,10.03,2011-07-22,6.7,853,48,Another Earth,175000.0,1321194.0,2102779.0,1927779,1201.588,"['Drama', 'ScienceFiction']",Drama,ScienceFiction,,,,,
424,433,"['28', '53', '9648']",70435,10.015,2011-11-06,5.6,747,83,Haywire,23000000.0,18942396.0,36374700.0,13374700,158.1508695652174,"['Action', 'Thriller', 'Mystery']",Action,Thriller,Mystery,,,,
425,434,"['10751', '35', '28']",56288,10.009,2011-08-19,4.6,487,100,Spy Kids: All The Time In The World,27000000.0,38536376.0,80681183.0,53681183,298.8191962962963,"['Family', 'Comedy', 'Action']",Family,Comedy,Action,,,,
426,435,"['35', '10749']",48988,9.984,2011-02-25,5.5,1009,57,Hall Pass,68000000.0,45060734.0,87173475.0,19173475,128.1962867647059,"['Comedy', 'Romance']",Comedy,Romance,,,,,
427,436,"['18', '35', '10751']",74465,9.931,2011-12-23,6.7,1523,14,We Bought A Zoo,50000000.0,75624550.0,118729073.0,68729073,237.458146,"['Drama', 'Comedy', 'Family']",Drama,Comedy,Family,,,,
428,437,"['35', '10749']",55721,9.805,2011-05-13,6.5,2783,85,Bridesmaids,32500000.0,169211718.0,289632023.0,257132023,891.1754553846154,"['Comedy', 'Romance']",Comedy,Romance,,,,,
429,438,"['28', '53', '12']",50456,9.709,2011-04-08,6.6,1944,14,Hanna,30000000.0,40259119.0,65343694.0,35343694,217.81231333333332,"['Action', 'Thriller', 'Adventure']",Action,Thriller,Adventure,,,,
430,439,"['18', '53', '27']",48171,9.676,2011-01-28,5.9,994,100,The Rite,37000000.0,33047633.0,97143987.0,60143987,262.5513162162162,"['Drama', 'Thriller', 'Horror']",Drama,Thriller,Horror,,,,
431,440,['27'],72571,9.669,2011-10-21,5.9,1197,51,Paranormal Activity 3,5000000.0,104028807.0,207039844.0,202039844,4140.79688,['Horror'],Horror,,,,,,
432,441,"['28', '35', '878']",59678,9.612,2011-07-29,6.4,1144,7,Attack The Block,13000000.0,1024175.0,6459183.0,-6540817,49.68602307692308,"['Action', 'Comedy', 'ScienceFiction']",Action,Comedy,ScienceFiction,,,,
433,442,"['35', '18']",44564,9.518,2011-01-13,5.3,448,25,The Dilemma,70000000.0,48475290.0,70546865.0,546865,100.78123571428571,"['Comedy', 'Drama']",Comedy,Drama,,,,,
434,443,"['53', '18']",50839,9.498,2011-10-21,6.8,856,37,Margin Call,3400000.0,5353586.0,20433227.0,17033227,600.9772647058824,"['Thriller', 'Drama']",Thriller,Drama,,,,,
435,444,"['18', '53']",50837,9.477,2011-10-21,6.7,413,42,Martha Marcy May Marlene,1000000.0,2981038.0,5438911.0,4438911,543.8911,"['Drama', 'Thriller']",Drama,Thriller,,,,,
436,445,"['35', '18']",51017,9.393,2011-04-22,6.7,71,92,Madea'S Big Happy Family,25000000.0,53345287.0,54160818.0,29160818,216.643272,"['Comedy', 'Drama']",Comedy,Drama,,,,,
437,446,['35'],16538,9.37,2009-03-20,6.5,897,12,"I Love You, Man",40000000.0,72013010.0,92302502.0,52302502,230.756255,['Comedy'],Comedy,,,,,,
438,447,['18'],52505,9.15,2011-02-04,6.2,220,2,The Other Woman,40000000.0,83911193.0,195111193.0,155111193,487.7779825,['Drama'],Drama,,,,,,
439,448,"['35', '10749']",193610,11.894,2014-04-25,6.3,2276,2,The Other Woman,40000000.0,83911193.0,195111193.0,155111193,487.7779825,"['Comedy', 'Romance']",Comedy,Romance,,,,,
440,449,"['18', '35', '10749']",499722,6.359,2018-04-30,4.9,60,2,The Other Woman,40000000.0,83911193.0,195111193.0,155111193,487.7779825,"['Drama', 'Comedy', 'Romance']",Drama,Comedy,Romance,,,,
441,450,"['28', '53', '80']",45610,9.12,2011-09-23,6.5,477,99,Machine Gun Preacher,30000000.0,538690.0,3721988.0,-26278012,12.406626666666666,"['Action', 'Thriller', 'Crime']",Action,Thriller,Crime,,,,
442,451,"['12', '28', '53', '80']",81390,9.104,2011-04-09,6.1,251,56,A Lonely Place To Die,4000000.0,0.0,442550.0,-3557450,11.06375,"['Adventure', 'Action', 'Thriller', 'Crime']",Adventure,Action,Thriller,Crime,,,
