,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
1697,"['18', '10402']",424694,37.197,2018-11-02,8.1,7629,84,Bohemian Rhapsody,55000000.0,216303339.0,894985342.0,839985342,1627.2460763636363,"['Drama', 'Music']",Drama,Music,,,,,
1698,"['28', '12', '16', '10751']",260513,36.286,2018-06-15,7.6,6354,44,Incredibles 2,200000000.0,608581744.0,1242520711.0,1042520711,621.2603555000001,"['Action', 'Adventure', 'Animation', 'Family']",Action,Adventure,Animation,Family,,,
1699,"['18', '35']",490132,36.284,2018-11-16,8.3,3499,71,Green Book,23000000.0,85080171.0,322034439.0,299034439,1400.149734782609,"['Drama', 'Comedy']",Drama,Comedy,,,,,
1700,"['18', '10749', '10402']",332562,35.848,2018-10-05,7.5,5676,5,A Star Is Born,36000000.0,215288866.0,433449571.0,397449571,1204.026586111111,"['Drama', 'Romance', 'Music']",Drama,Romance,Music,,,,
1701,"['28', '12', '878']",351286,34.958,2018-06-22,6.5,5995,13,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,1135772799,768.1016464705882,"['Action', 'Adventure', 'ScienceFiction']",Action,Adventure,ScienceFiction,,,,
1702,"['18', '36']",339380,32.624,2018-12-25,7.4,225,81,On The Basis Of Sex,20000000.0,24622687.0,38073377.0,18073377,190.366885,"['Drama', 'History']",Drama,History,,,,,
1703,"['53', '28', '18']",458594,32.476,2018-09-07,6.5,716,21,Peppermint,25000000.0,35418723.0,51800758.0,26800758,207.203032,"['Thriller', 'Action', 'Drama']",Thriller,Action,Drama,,,,
1704,"['28', '878', '53', '27']",345940,31.397,2018-08-10,5.9,2896,94,The Meg,178000000.0,145443742.0,529530715.0,351530715,297.4891657303371,"['Action', 'ScienceFiction', 'Thriller', 'Horror']",Action,ScienceFiction,Thriller,Horror,,,
1705,"['53', '80', '9648', '18']",446021,31.32,2018-10-12,6.8,1365,10,Bad Times At The El Royale,32000000.0,17839115.0,29204379.0,-2795621,91.263684375,"['Thriller', 'Crime', 'Mystery', 'Drama']",Thriller,Crime,Mystery,Drama,,,
1706,"['14', '10751', '35']",400650,30.419,2018-12-19,6.6,1457,45,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,211528518,262.7142446153846,"['Fantasy', 'Family', 'Comedy']",Fantasy,Family,Comedy,,,,
1707,"['12', '878']",333339,30.029,2018-03-29,7.6,7021,78,Ready Player One,150000000.0,137690172.0,579290136.0,429290136,386.193424,"['Adventure', 'ScienceFiction']",Adventure,ScienceFiction,,,,,
1708,"['28', '14', '878', '12']",268896,30.019,2018-03-23,5.9,2213,50,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,135930148,187.69686967741936,"['Action', 'Fantasy', 'ScienceFiction', 'Adventure']",Action,Fantasy,ScienceFiction,Adventure,,,
1709,"['28', '80', '18', '53']",400535,29.725,2018-06-29,6.7,1317,59,Sicario: Day Of The Soldado,35000000.0,50065850.0,75885196.0,40885196,216.81484571428567,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Crime,Drama,Thriller,,,
1710,"['28', '12', '878']",348350,29.502,2018-05-25,6.6,3838,12,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,118151347,142.9641261818182,"['Action', 'Adventure', 'ScienceFiction']",Action,Adventure,ScienceFiction,,,,
1711,"['878', '28', '53', '12', '27']",346910,29.473000000000003,2018-09-14,5.2,2018,84,The Predator,88000000.0,51024708.0,159487563.0,71487563,181.2358670454545,"['ScienceFiction', 'Action', 'Thriller', 'Adventure', 'Horror']",ScienceFiction,Action,Thriller,Adventure,Horror,,
1712,"['18', '27', '53', '878']",447332,29.154,2018-04-06,7.3,5848,66,A Quiet Place,17000000.0,188024361.0,334522294.0,317522294,1967.7782,"['Drama', 'Horror', 'Thriller', 'ScienceFiction']",Drama,Horror,Thriller,ScienceFiction,,,
1713,"['18', '36', '35']",375262,28.651,2018-11-23,7.7,2096,39,The Favourite,15000000.0,34366783.0,94113929.0,79113929,627.4261933333333,"['Drama', 'History', 'Comedy']",Drama,History,Comedy,,,,
1714,"['28', '878', '53', '27']",442249,28.44,2018-07-04,5.8,1846,49,The First Purge,13000000.0,69488745.0,136617305.0,123617305,1050.902346153846,"['Action', 'ScienceFiction', 'Thriller', 'Horror']",Action,ScienceFiction,Thriller,Horror,,,
1715,['18'],480530,26.907,2018-11-21,6.7,2236,96,Creed Ii,50000000.0,115715889.0,213591522.0,163591522,427.183044,['Drama'],Drama,,,,,,
1716,"['10751', '14', '35', '16']",400155,26.815,2018-06-30,6.8,1673,77,Hotel Transylvania 3: Summer Vacation,65000000.0,167500092.0,527079962.0,462079962,810.8922492307693,"['Family', 'Fantasy', 'Comedy', 'Animation']",Family,Fantasy,Comedy,Animation,,,
1717,"['14', '12', '10751']",426543,26.235,2018-11-02,6.0,909,35,The Nutcracker And The Four Realms,132900000.0,54858851.0,170293899.0,37393899,128.1368690744921,"['Fantasy', 'Adventure', 'Family']",Fantasy,Adventure,Family,,,,
1718,"['16', '10751', '12', '14']",446894,26.231,2018-09-28,6.6,600,69,Smallfoot,80000000.0,83240103.0,213691277.0,133691277,267.11409625,"['Animation', 'Family', 'Adventure', 'Fantasy']",Animation,Family,Adventure,Fantasy,,,
1719,['28'],447200,26.229,2018-07-13,6.1,2177,78,Skyscraper,125000000.0,68420120.0,304115534.0,179115534,243.2924272,['Action'],Action,,,,,,
1720,"['27', '9648', '53']",493922,26.185,2018-06-08,7.0,2491,56,Hereditary,10000000.0,44069456.0,70133905.0,60133905,701.33905,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,
1721,"['53', '18']",405774,26.156,2018-11-12,7.0,4777,17,Bird Box,19800000.0,0.0,0.0,-19800000,0.0,"['Thriller', 'Drama']",Thriller,Drama,,,,,
1722,['878'],300668,25.197,2018-02-23,6.3,4465,32,Annihilation,55000000.0,32732301.0,43070915.0,-11929085,78.31075454545454,['ScienceFiction'],ScienceFiction,,,,,,
1723,"['80', '18']",487558,25.101,2018-07-30,7.6,3138,21,Blackkklansman,15000000.0,49275340.0,93017335.0,78017335,620.1155666666667,"['Crime', 'Drama']",Crime,Drama,,,,,
1724,"['28', '12', '14']",338970,24.968000000000004,2018-03-16,6.3,4310,70,Tomb Raider,90000000.0,58250803.0,273477501.0,183477501,303.86389,"['Action', 'Adventure', 'Fantasy']",Action,Adventure,Fantasy,,,,
1725,"['28', '12', '878', '14']",427641,24.238000000000003,2018-04-13,6.2,3176,90,Rampage,120000000.0,101028233.0,428056280.0,308056280,356.7135666666667,"['Action', 'Adventure', 'ScienceFiction', 'Fantasy']",Action,Adventure,ScienceFiction,Fantasy,,,
1726,"['878', '53']",445651,23.967,2018-08-03,6.8,1158,64,The Darkest Minds,34000000.0,12695691.0,38361428.0,4361428,112.82772941176472,"['ScienceFiction', 'Thriller']",ScienceFiction,Thriller,,,,,
1727,"['878', '28']",425505,23.805,2018-08-31,6.2,289,88,Kin,30000000.0,5718096.0,10096821.0,-19903179,33.65607,"['ScienceFiction', 'Action']",ScienceFiction,Action,,,,,
1729,"['28', '878']",336843,23.166,2018-01-26,7.0,3894,40,Maze Runner: The Death Cure,61000000.0,58032443.0,265878536.0,204878536,435.8664524590165,"['Action', 'ScienceFiction']",Action,ScienceFiction,,,,,
1730,"['53', '28', '80']",345887,22.961,2018-07-20,6.4,2089,21,The Equalizer 2,77000000.0,102084362.0,190453132.0,113453132,247.34172987012988,"['Thriller', 'Action', 'Crime']",Thriller,Action,Crime,,,,
1731,"['36', '18']",369972,22.958,2018-10-12,7.1,2304,6,First Man,60000000.0,44936545.0,105203825.0,45203825,175.33970833333333,"['History', 'Drama']",History,Drama,,,,,
1732,"['28', '53', '80']",449443,22.738000000000003,2018-01-19,6.6,1244,3,Den Of Thieves,30000000.0,44947622.0,80131391.0,50131391,267.1046366666667,"['Action', 'Thriller', 'Crime']",Action,Thriller,Crime,,,,
1733,"['35', '18']",491418,22.634,2018-11-16,7.6,782,20,Instant Family,48000000.0,67363237.0,119736188.0,71736188,249.45039166666663,"['Comedy', 'Drama']",Comedy,Drama,,,,,
1734,"['18', '10749']",337167,22.512,2018-02-09,6.1,3535,97,Fifty Shades Freed,55000000.0,100407760.0,371350619.0,316350619,675.1829436363637,"['Drama', 'Romance']",Drama,Romance,,,,,
1735,"['18', '35', '14']",351044,22.032,2018-12-21,6.6,286,18,Welcome To Marwen,45000000.0,10763520.0,12874922.0,-32125078,28.61093777777777,"['Drama', 'Comedy', 'Fantasy']",Drama,Comedy,Fantasy,,,,
1736,['35'],437557,21.841,2018-04-06,6.1,969,60,Blockers,21000000.0,60311495.0,94045328.0,73045328,447.8348952380952,['Comedy'],Comedy,,,,,,
1737,"['14', '10751']",463821,21.805,2018-09-21,6.2,933,16,The House With A Clock In Its Walls,40000000.0,68549695.0,126331750.0,86331750,315.829375,"['Fantasy', 'Family']",Fantasy,Family,,,,,
1738,"['28', '53', '878']",500664,21.413,2018-06-01,7.4,1326,89,Upgrade,3000000.0,11977130.0,16553285.0,13553285,551.7761666666667,"['Action', 'Thriller', 'ScienceFiction']",Action,Thriller,ScienceFiction,,,,
1739,['28'],347375,21.246,2018-08-17,6.0,920,78,Mile 22,35000000.0,36108758.0,66295121.0,31295121,189.41463142857145,['Action'],Action,,,,,,
1740,"['53', '80', '9648', '35', '18']",484247,21.121,2018-09-14,6.6,1756,24,A Simple Favor,20000000.0,53548586.0,97628717.0,77628717,488.143585,"['Thriller', 'Crime', 'Mystery', 'Comedy', 'Drama']",Thriller,Crime,Mystery,Comedy,Drama,,
1741,"['12', '35', '10751', '14']",420814,20.931,2018-08-03,7.4,1280,43,Christopher Robin,75000000.0,99215042.0,197504758.0,122504758,263.3396773333333,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Adventure,Comedy,Family,Fantasy,,,
1742,"['53', '27']",424139,20.839,2018-10-19,6.4,2020,15,Halloween,15000000.0,58269151.0,77514401.0,62514401,516.7626733333333,"['Thriller', 'Horror']",Thriller,Horror,,,,,
1743,"['80', '53']",401469,20.628,2018-11-16,6.5,941,50,Widows,40000000.0,42402632.0,73866088.0,33866088,184.66522,"['Crime', 'Thriller']",Crime,Thriller,,,,,
1744,"['27', '18']",434555,20.263,2018-11-30,5.1,393,37,The Possession Of Hannah Grace,6000000.0,14836174.0,42785387.0,36785387,713.0897833333333,"['Horror', 'Drama']",Horror,Drama,,,,,
1745,"['12', '35', '14', '10751', '27']",442062,20.238,2018-10-12,5.6,428,63,Goosebumps 2: Haunted Halloween,35000000.0,46697321.0,93291478.0,58291478,266.54708,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Horror']",Adventure,Comedy,Fantasy,Family,Horror,,
1746,"['28', '53']",399035,20.063,2018-01-12,6.2,2394,62,The Commuter,40000000.0,36343858.0,101985431.0,61985431,254.9635775,"['Action', 'Thriller']",Action,Thriller,,,,,
1747,"['10749', '35']",454619,19.477,2018-05-04,6.3,535,61,Overboard,12000000.0,50316123.0,85369830.0,73369830,711.41525,"['Romance', 'Comedy']",Romance,Comedy,,,,,
1748,"['9648', '35', '80']",445571,19.459,2018-02-23,6.9,2756,94,Game Night,37000000.0,69179066.0,117378084.0,80378084,317.23806486486484,"['Mystery', 'Comedy', 'Crime']",Mystery,Comedy,Crime,,,,
1749,"['9648', '12', '35', '80']",426563,19.331,2018-12-25,4.1,217,58,Holmes & Watson,42000000.0,30568743.0,41926605.0,-73395,99.82525,"['Mystery', 'Adventure', 'Comedy', 'Crime']",Mystery,Adventure,Comedy,Crime,,,
1750,"['80', '18']",470044,19.135,2018-10-19,8.2,636,78,The Hate U Give,23000000.0,29719483.0,35067665.0,12067665,152.46810869565218,"['Crime', 'Drama']",Crime,Drama,,,,,
1751,"['9648', '53']",401981,18.117,2018-03-02,6.5,3406,52,Red Sparrow,69000000.0,46874505.0,145951861.0,76951861,211.52443623188404,"['Mystery', 'Thriller']",Mystery,Thriller,,,,,
1752,"['28', '80', '18', '53']",395990,18.014,2018-03-02,5.9,1207,28,Death Wish,30000000.0,34017028.0,48575965.0,18575965,161.91988333333333,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Crime,Drama,Thriller,,,
1753,"['35', '18', '10749']",455207,17.969,2018-08-15,7.1,1496,38,Crazy Rich Asians,30000000.0,174532921.0,238099711.0,208099711,793.6657033333333,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
1754,['27'],505058,17.861,2018-07-20,6.1,365,29,Unfriended: Dark Web,1000000.0,8866745.0,16434588.0,15434588,1643.4588,['Horror'],Horror,,,,,,
1755,"['53', '80', '18', '28']",471507,17.815,2018-12-25,5.9,176,5,Destroyer,9000000.0,1533324.0,3681096.0,-5318904,40.90106666666667,"['Thriller', 'Crime', 'Drama', 'Action']",Thriller,Crime,Drama,Action,,,
1756,"['18', '80']",401847,17.604,2018-10-19,6.9,450,40,Can You Ever Forgive Me?,10000000.0,8803865.0,11752387.0,1752387,117.52387,"['Drama', 'Crime']",Drama,Crime,,,,,
1757,['18'],492452,17.273,2018-12-07,6.7,254,95,Ben Is Back,13000000.0,3703182.0,9633111.0,-3366889,74.10085384615385,['Drama'],Drama,,,,,,
1758,"['9648', '53', '27']",439015,16.999000000000002,2018-08-10,4.0,712,80,Slender Man,10000000.0,30564825.0,51723644.0,41723644,517.23644,"['Mystery', 'Thriller', 'Horror']",Mystery,Thriller,Horror,,,,
1759,"['27', '14']",361292,16.925,2018-10-26,7.0,752,81,Suspiria,20000000.0,2483472.0,7034615.0,-12965385,35.173075,"['Horror', 'Fantasy']",Horror,Fantasy,,,,,
1760,"['10751', '35', '16', '12']",387592,16.675,2018-02-16,5.9,338,98,Early Man,50000000.0,8267544.0,45285890.0,-4714110,90.57178,"['Family', 'Comedy', 'Animation', 'Adventure']",Family,Comedy,Animation,Adventure,,,
1761,"['16', '28', '35', '878']",474395,16.523,2018-07-27,7.0,304,84,Teen Titans Go! To The Movies,10000000.0,29790236.0,51620593.0,41620593,516.20593,"['Animation', 'Action', 'Comedy', 'ScienceFiction']",Animation,Action,Comedy,ScienceFiction,,,
1762,"['10749', '35']",503616,16.322,2018-12-21,6.2,361,83,Second Act,15700000.0,39282227.0,63288854.0,47588854,403.1137197452229,"['Romance', 'Comedy']",Romance,Comedy,,,,,
1763,"['27', '53']",467660,16.316,2018-03-23,6.2,667,70,Unsane,1500000.0,7690044.0,14244931.0,12744931,949.6620666666666,"['Horror', 'Thriller']",Horror,Thriller,,,,,
1764,['35'],460668,16.298,2018-04-20,6.4,1088,99,I Feel Pretty,32000000.0,48795601.0,91553797.0,59553797,286.105615625,['Comedy'],Comedy,,,,,,
1766,"['18', '36']",457136,16.115,2018-12-07,6.6,592,60,Mary Queen Of Scots,25000000.0,16468499.0,46734733.0,21734733,186.938932,"['Drama', 'History']",Drama,History,,,,,
1767,"['9648', '27', '53']",406563,16.017,2018-01-05,6.1,1306,45,Insidious: The Last Key,10000000.0,67745330.0,167885588.0,157885588,1678.85588,"['Mystery', 'Horror', 'Thriller']",Mystery,Horror,Thriller,,,,
1768,"['16', '12', '10751']",381719,15.974,2018-02-09,6.5,650,97,Peter Rabbit,50000000.0,115234093.0,347136477.0,297136477,694.272954,"['Animation', 'Adventure', 'Family']",Animation,Adventure,Family,,,,
1769,"['10749', '18', '10402']",417261,15.953,2018-01-26,7.4,406,98,Forever My Girl,3500000.0,16376066.0,16376066.0,12876066,467.8876,"['Romance', 'Drama', 'Music']",Romance,Drama,Music,,,,
1770,"['14', '878', '35']",424781,15.887,2018-07-06,6.9,481,54,Sorry To Bother You,3200000.0,17493096.0,18285560.0,15085560,571.42375,"['Fantasy', 'ScienceFiction', 'Comedy']",Fantasy,ScienceFiction,Comedy,,,,
1771,"['16', '10751']",456154,15.879,2018-01-21,7.2,69,87,White Fang,14000000.0,34729091.0,34729091.0,20729091,248.06493571428567,"['Animation', 'Family']",Animation,Family,,,,,
1772,"['35', '18', '10749']",449176,15.608,2018-03-16,8.2,3165,57,"Love, Simon",10000000.0,40826341.0,65520633.0,55520633,655.20633,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,
1773,"['35', '18']",489925,14.777,2018-07-13,7.4,519,95,Eighth Grade,2000000.0,13539710.0,14341016.0,12341016,717.0508,"['Comedy', 'Drama']",Comedy,Drama,,,,,
1774,"['53', '878', '28']",406761,14.585,2018-06-08,5.9,471,15,Hotel Artemis,15000000.0,6708137.0,12758799.0,-2241201,85.05866,"['Thriller', 'ScienceFiction', 'Action']",Thriller,ScienceFiction,Action,,,,
1775,"['80', '18']",438808,13.794,2018-09-14,6.3,277,42,White Boy Rick,30000000.0,24004833.0,25947983.0,-4052017,86.49327666666666,"['Crime', 'Drama']",Crime,Drama,,,,,
1776,"['35', '18', '37']",440161,13.738,2018-09-21,7.0,590,82,The Sisters Brothers,38000000.0,3143056.0,13143056.0,-24856944,34.58698947368421,"['Comedy', 'Drama', 'Western']",Comedy,Drama,Western,,,,
1777,['35'],399796,13.696,2018-05-11,6.2,435,88,Life Of The Party,30000000.0,53059911.0,65759911.0,35759911,219.19970333333333,['Comedy'],Comedy,,,,,,
1778,"['18', '10749', '80']",465914,13.579,2018-12-14,7.2,388,96,If Beale Street Could Talk,12000000.0,14915773.0,19859167.0,7859167,165.49305833333335,"['Drama', 'Romance', 'Crime']",Drama,Romance,Crime,,,,
1779,"['28', '80', '53']",430040,13.335,2018-03-09,5.4,476,22,The Hurricane Heist,40000000.0,6115824.0,30963684.0,-9036316,77.40921,"['Action', 'Crime', 'Thriller']",Action,Crime,Thriller,,,,
1780,"['27', '53']",371608,13.31,2018-03-09,5.4,621,79,The Strangers: Prey At Night,5000000.0,24431472.0,29960051.0,24960051,599.20102,"['Horror', 'Thriller']",Horror,Thriller,,,,,
1781,"['53', '18', '36']",476678,13.292,2018-04-27,6.3,78,41,Backstabbing For Beginners,8000000.0,0.0,343773.0,-7656227,4.2971625,"['Thriller', 'Drama', 'History']",Thriller,Drama,History,,,,
1782,"['18', '10402', '35']",470333,13.201,2018-06-08,7.4,87,25,Hearts Beat Loud,2000000.0,2386254.0,2420962.0,420962,121.0481,"['Drama', 'Music', 'Comedy']",Drama,Music,Comedy,,,,
1783,"['10752', '18', '36', '28']",429351,13.183,2018-01-19,5.6,1312,64,12 Strong,35000000.0,45819713.0,71118378.0,36118378,203.1953657142857,"['War', 'Drama', 'History', 'Action']",War,Drama,History,Action,,,
1784,"['10749', '16', '35', '10751', '14', '9648', '12']",370567,12.987,2018-03-23,5.4,343,54,Sherlock Gnomes,59000000.0,43242871.0,87527651.0,28527651,148.35195084745763,"['Romance', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Mystery', 'Adventure']",Romance,Animation,Comedy,Family,Fantasy,Mystery,Adventure
1785,['27'],429476,12.955,2018-09-28,5.5,273,20,Hell Fest,5500000.0,11107431.0,18119231.0,12619231,329.4405636363636,['Horror'],Horror,,,,,,
1786,['18'],458737,12.943,2018-05-18,6.9,446,11,First Reformed,3500000.0,3448256.0,3874772.0,374772,110.70777142857142,['Drama'],Drama,,,,,,
1787,"['35', '18']",454283,12.84,2018-06-01,5.2,136,50,Action Point,19000000.0,5059608.0,5103675.0,-13896325,26.861447368421054,"['Comedy', 'Drama']",Comedy,Drama,,,,,
1788,"['12', '878', '10751', '14']",407451,12.529000000000002,2018-03-09,5.0,1073,58,A Wrinkle In Time,103000000.0,100478608.0,133401882.0,30401882,129.51639029126213,"['Adventure', 'ScienceFiction', 'Family', 'Fantasy']",Adventure,ScienceFiction,Family,Fantasy,,,
1789,"['14', '9648', '53', '27']",416234,12.44,2018-02-02,5.7,884,95,Winchester,3500000.0,25091816.0,44378040.0,40878040,1267.944,"['Fantasy', 'Mystery', 'Thriller', 'Horror']",Fantasy,Mystery,Thriller,Horror,,,
1790,"['28', '80']",500475,12.046,2018-06-13,6.5,130,49,Superfly,16000000.0,20537137.0,20723581.0,4723581,129.52238125,"['Action', 'Crime']",Action,Crime,,,,,
1791,['36'],476968,12.005,2018-03-28,7.1,98,95,"Paul, Apostle Of Christ",5000000.0,17547999.0,25529498.0,20529498,510.58996,['History'],History,,,,,,
1792,"['18', '36', '53']",453201,11.576,2018-02-09,5.3,799,23,The 15:17 To Paris,30000000.0,36276286.0,56096200.0,26096200,186.9873333333333,"['Drama', 'History', 'Thriller']",Drama,History,Thriller,,,,
1793,['35'],474335,10.836,2018-06-29,6.5,220,85,Uncle Drew,18000000.0,42469946.0,46527161.0,28527161,258.4842277777778,['Comedy'],Comedy,,,,,,
1794,"['18', '53']",464502,10.6,2018-03-30,6.6,186,35,Acrimony,20000000.0,43549096.0,46627836.0,26627836,233.13918,"['Drama', 'Thriller']",Drama,Thriller,,,,,
1795,"['80', '18', '36', '53']",339103,10.034,2018-06-15,5.2,231,64,Gotti,10000000.0,4286367.0,6089100.0,-3910900,60.891,"['Crime', 'Drama', 'History', 'Thriller']",Crime,Drama,History,Thriller,,,
