,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,genre,main_genre,subgenre_1,subgenre_2,subgenre_3,subgenre_4,subgenre_5,subgenre_6
1796,['99'],532908,10.003,2018-09-10,7.1,142,29,Fahrenheit 11/9,5000000.0,6352306.0,6653715.0,1653715,133.0743,['Documentary'],Documentary,,,,,,
1797,"['18', '10751', '10402']",470878,9.7,2018-03-16,7.6,155,90,I Can Only Imagine,7000000.0,83482352.0,85604221.0,78604221,1222.917442857143,"['Drama', 'Family', 'Music']",Drama,Family,Music,,,,
1798,"['53', '28', '80']",442064,9.371,2018-01-12,5.5,259,50,Proud Mary,30000000.0,20868638.0,21709539.0,-8290461,72.36513,"['Thriller', 'Action', 'Crime']",Thriller,Action,Crime,,,,
1799,"['53', '28']",335788,9.022,2018-12-21,5.8,156,20,Renegades,77500000.0,0.0,1521672.0,-75978328,1.963447741935484,"['Thriller', 'Action']",Thriller,Action,,,,,
1800,"['80', '9648', '53', '18']",220882,8.557,2018-10-26,5.3,59,24,London Fields,8000000.0,252676.0,433732.0,-7566268,5.42165,"['Crime', 'Mystery', 'Thriller', 'Drama']",Crime,Mystery,Thriller,Drama,,,
1801,"['28', '878', '53']",513324,7.544,2018-05-11,4.9,43,67,Higher Power,500000.0,528.0,528.0,-499472,0.1056,"['Action', 'ScienceFiction', 'Thriller']",Action,ScienceFiction,Thriller,,,,
1802,"['18', '10752', '28', '12']",345934,6.971,2018-10-26,3.9,56,21,Air Strike,65000000.0,0.0,516279.0,-64483721,0.7942753846153847,"['Drama', 'War', 'Action', 'Adventure']",Drama,War,Action,Adventure,,,
1804,"['10402', '10751', '14', '10770', '35']",505904,6.454,2018-08-10,5.4,36,21,Freaky Friday,26000000.0,110222438.0,160822438.0,134822438,618.5478384615385,"['Music', 'Family', 'Fantasy', 'TVMovie', 'Comedy']",Music,Family,Fantasy,TVMovie,Comedy,,
1806,"['18', '10752']",514407,5.599,2018-10-26,5.4,13,93,Indivisible,2700000.0,3511417.0,3588305.0,888305,132.9001851851852,"['Drama', 'War']",Drama,War,,,,,
1807,"['18', '35', '28', '80']",506971,4.486000000000001,2018-07-20,7.6,11,8,Teefa In Trouble,1500000.0,0.0,98806.0,-1401194,6.587066666666666,"['Drama', 'Comedy', 'Action', 'Crime']",Drama,Comedy,Action,Crime,,,
1808,['18'],483347,2.919,2018-09-28,6.8,11,19,Little Women,15000000.0,50003303.0,50003303.0,35003303,333.3553533333333,['Drama'],Drama,,,,,,
1809,"['28', '12', '16']",332718,2.707,2018-02-02,6.8,54,100,Bilal: A New Breed Of Hero,30000000.0,490973.0,648599.0,-29351401,2.1619966666666666,"['Action', 'Adventure', 'Animation']",Action,Adventure,Animation,,,,
1810,"['53', '10770']",537138,2.036,2018-05-19,5.4,13,74,Twisted,50000000.0,25195050.0,40119848.0,-9880152,80.23969600000001,"['Thriller', 'TVMovie']",Thriller,TVMovie,,,,,
