Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi
23919,"[35, 18, 10749]",455207,en,Crazy Rich Asians,17.969,2018-08-15,Crazy Rich Asians,7.1,1496,38,"Aug 15, 2018",Crazy Rich Asians,30000000.0,174532921.0,238099711.0,208099711,793.6657033333333
23920,[27],505058,en,Unfriended: Dark Web,17.861,2018-07-20,Unfriended: Dark Web,6.1,365,29,"Jul 20, 2018",Unfriended: Dark Web,1000000.0,8866745.0,16434588.0,15434588,1643.4588
23921,"[53, 80, 18, 28]",471507,en,Destroyer,17.815,2018-12-25,Destroyer,5.9,176,5,"Dec 25, 2018",Destroyer,9000000.0,1533324.0,3681096.0,-5318904,40.90106666666667
23925,"[18, 80]",401847,en,Can You Ever Forgive Me?,17.604,2018-10-19,Can You Ever Forgive Me?,6.9,450,40,"Oct 19, 2018",Can You Ever Forgive Me?,10000000.0,8803865.0,11752387.0,1752387,117.52387
23929,[18],492452,en,Ben Is Back,17.273,2018-12-07,Ben Is Back,6.7,254,95,"Dec 7, 2018",Ben Is Back,13000000.0,3703182.0,9633111.0,-3366889,74.10085384615385
23932,"[9648, 53, 27]",439015,en,Slender Man,16.999000000000002,2018-08-10,Slender Man,4.0,712,80,"Aug 10, 2018",Slender Man,10000000.0,30564825.0,51723644.0,41723644,517.23644
23936,"[27, 14]",361292,en,Suspiria,16.925,2018-10-26,Suspiria,7.0,752,81,"Oct 26, 2018",Suspiria,20000000.0,2483472.0,7034615.0,-12965385,35.173075
23943,"[10751, 35, 16, 12]",387592,en,Early Man,16.675,2018-02-16,Early Man,5.9,338,98,"Feb 16, 2018",Early Man,50000000.0,8267544.0,45285890.0,-4714110,90.57178
23946,"[16, 28, 35, 878]",474395,en,Teen Titans Go! To the Movies,16.523,2018-07-27,Teen Titans Go! To The Movies,7.0,304,84,"Jul 27, 2018",Teen Titans Go! To The Movies,10000000.0,29790236.0,51620593.0,41620593,516.20593
23948,"[10749, 35]",503616,en,Second Act,16.322,2018-12-21,Second Act,6.2,361,83,"Dec 21, 2018",Second Act,15700000.0,39282227.0,63288854.0,47588854,403.1137197452229
23949,"[27, 53]",467660,en,Unsane,16.316,2018-03-23,Unsane,6.2,667,70,"Mar 23, 2018",Unsane,1500000.0,7690044.0,14244931.0,12744931,949.6620666666666
23950,[35],460668,en,I Feel Pretty,16.298,2018-04-20,I Feel Pretty,6.4,1088,99,"Apr 20, 2018",I Feel Pretty,32000000.0,48795601.0,91553797.0,59553797,286.105615625
23951,"[12, 14]",11253,en,Hellboy II: The Golden Army,16.266,2008-07-11,Hellboy Ii: The Golden Army,6.7,2820,32,"Jul 11, 2008",Hellboy Ii: The Golden Army,82500000.0,75986503.0,160388063.0,77888063,194.40977333333333
23956,"[18, 36]",457136,en,Mary Queen of Scots,16.115,2018-12-07,Mary Queen Of Scots,6.6,592,60,"Dec 7, 2018",Mary Queen Of Scots,25000000.0,16468499.0,46734733.0,21734733,186.938932
23959,"[9648, 27, 53]",406563,en,Insidious: The Last Key,16.017,2018-01-05,Insidious: The Last Key,6.1,1306,45,"Jan 5, 2018",Insidious: The Last Key,10000000.0,67745330.0,167885588.0,157885588,1678.85588
23961,"[16, 12, 10751]",381719,en,Peter Rabbit,15.974,2018-02-09,Peter Rabbit,6.5,650,97,"Feb 9, 2018",Peter Rabbit,50000000.0,115234093.0,347136477.0,297136477,694.272954
23962,"[10749, 18, 10402]",417261,en,Forever My Girl,15.953,2018-01-26,Forever My Girl,7.4,406,98,"Jan 19, 2018",Forever My Girl,3500000.0,16376066.0,16376066.0,12876066,467.88759999999996
23966,"[14, 878, 35]",424781,en,Sorry to Bother You,15.887,2018-07-06,Sorry To Bother You,6.9,481,54,"Jul 6, 2018",Sorry To Bother You,3200000.0,17493096.0,18285560.0,15085560,571.42375
23967,"[16, 10751]",456154,fr,Croc-Blanc,15.879000000000001,2018-01-21,White Fang,7.2,69,87,"Jan 18, 1991",White Fang,14000000.0,34729091.0,34729091.0,20729091,248.06493571428572
23970,"[35, 18, 10749]",449176,en,"Love, Simon",15.607999999999999,2018-03-16,"Love, Simon",8.2,3165,57,"Mar 16, 2018","Love, Simon",10000000.0,40826341.0,65520633.0,55520633,655.20633
23986,"[35, 18]",489925,en,Eighth Grade,14.777000000000001,2018-07-13,Eighth Grade,7.4,519,95,"Jul 13, 2018",Eighth Grade,2000000.0,13539710.0,14341016.0,12341016,717.0508
23994,"[53, 878, 28]",406761,en,Hotel Artemis,14.585,2018-06-08,Hotel Artemis,5.9,471,15,"Jun 8, 2018",Hotel Artemis,15000000.0,6708137.0,12758799.0,-2241201,85.05866
24009,"[80, 18]",438808,en,White Boy Rick,13.794,2018-09-14,White Boy Rick,6.3,277,42,"Sep 14, 2018",White Boy Rick,30000000.0,24004833.0,25947983.0,-4052017,86.49327666666666
24012,"[35, 18, 37]",440161,en,The Sisters Brothers,13.738,2018-09-21,The Sisters Brothers,7.0,590,82,"Sep 21, 2018",The Sisters Brothers,38000000.0,3143056.0,13143056.0,-24856944,34.58698947368421
24014,[35],399796,en,Life of the Party,13.696,2018-05-11,Life Of The Party,6.2,435,88,"May 11, 2018",Life Of The Party,30000000.0,53059911.0,65759911.0,35759911,219.19970333333333
24020,"[18, 10749, 80]",465914,en,If Beale Street Could Talk,13.579,2018-12-14,If Beale Street Could Talk,7.2,388,96,"Dec 14, 2018",If Beale Street Could Talk,12000000.0,14915773.0,19859167.0,7859167,165.49305833333335
24023,"[28, 80, 53]",430040,en,The Hurricane Heist,13.335,2018-03-09,The Hurricane Heist,5.4,476,22,"Mar 9, 2018",The Hurricane Heist,40000000.0,6115824.0,30963684.0,-9036316,77.40921
24025,"[27, 53]",371608,en,The Strangers: Prey at Night,13.31,2018-03-09,The Strangers: Prey At Night,5.4,621,79,"Mar 9, 2018",The Strangers: Prey At Night,5000000.0,24431472.0,29960051.0,24960051,599.20102
24026,"[53, 18, 36]",476678,en,Backstabbing for Beginners,13.292,2018-04-27,Backstabbing For Beginners,6.3,78,41,"Apr 24, 2018",Backstabbing For Beginners,8000000.0,0.0,343773.0,-7656227,4.2971625
24031,"[18, 10402, 35]",470333,en,Hearts Beat Loud,13.200999999999999,2018-06-08,Hearts Beat Loud,7.4,87,25,"Jun 8, 2018",Hearts Beat Loud,2000000.0,2386254.0,2420962.0,420962,121.04809999999999
24032,"[10752, 18, 36, 28]",429351,en,12 Strong,13.183,2018-01-19,12 Strong,5.6,1312,64,"Jan 19, 2018",12 Strong,35000000.0,45819713.0,71118378.0,36118378,203.1953657142857
24038,"[10749, 16, 35, 10751, 14, 9648, 12]",370567,en,Sherlock Gnomes,12.987,2018-03-23,Sherlock Gnomes,5.4,343,54,"Mar 23, 2018",Sherlock Gnomes,59000000.0,43242871.0,87527651.0,28527651,148.35195084745763
24039,[27],429476,en,Hell Fest,12.955,2018-09-28,Hell Fest,5.5,273,20,"Sep 28, 2018",Hell Fest,5500000.0,11107431.0,18119231.0,12619231,329.4405636363636
24040,[18],458737,en,First Reformed,12.943,2018-05-18,First Reformed,6.9,446,11,"May 18, 2018",First Reformed,3500000.0,3448256.0,3874772.0,374772,110.70777142857142
24044,"[35, 18]",454283,en,Action Point,12.84,2018-06-01,Action Point,5.2,136,50,"Jun 1, 2018",Action Point,19000000.0,5059608.0,5103675.0,-13896325,26.861447368421054
24051,"[12, 878, 10751, 14]",407451,en,A Wrinkle in Time,12.529000000000002,2018-03-09,A Wrinkle In Time,5.0,1073,58,"Mar 9, 2018",A Wrinkle In Time,103000000.0,100478608.0,133401882.0,30401882,129.51639029126213
24055,"[14, 9648, 53, 27]",416234,en,Winchester,12.44,2018-02-02,Winchester,5.7,884,95,"Feb 2, 2018",Winchester,3500000.0,25091816.0,44378040.0,40878040,1267.944
24075,"[28, 80]",500475,en,SuperFly,12.046,2018-06-13,Superfly,6.5,130,49,"Jun 13, 2018",Superfly,16000000.0,20537137.0,20723581.0,4723581,129.52238125
24076,[36],476968,en,"Paul, Apostle of Christ",12.005,2018-03-28,"Paul, Apostle Of Christ",7.1,98,95,"Mar 23, 2018","Paul, Apostle Of Christ",5000000.0,17547999.0,25529498.0,20529498,510.58995999999996
24089,"[18, 36, 53]",453201,en,The 15:17 to Paris,11.575999999999999,2018-02-09,The 15:17 To Paris,5.3,799,23,"Feb 9, 2018",The 15:17 To Paris,30000000.0,36276286.0,56096200.0,26096200,186.98733333333334
24120,[35],474335,en,Uncle Drew,10.835999999999999,2018-06-29,Uncle Drew,6.5,220,85,"Jun 29, 2018",Uncle Drew,18000000.0,42469946.0,46527161.0,28527161,258.4842277777778
24136,"[18, 53]",464502,en,Acrimony,10.6,2018-03-30,Acrimony,6.6,186,35,"Mar 30, 2018",Acrimony,20000000.0,43549096.0,46627836.0,26627836,233.13918
24168,"[80, 18, 36, 53]",339103,en,Gotti,10.033999999999999,2018-06-15,Gotti,5.2,231,64,"Jun 15, 2018",Gotti,10000000.0,4286367.0,6089100.0,-3910900,60.891
