,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
632,Super,Drama,8.1,1869,Drama,,,Upendra,"actor,writer,director",34,Super,2500000.0,327716.0,593933.0,-1906067,23.75732,2011-03-31
633,3,"Comedy,Drama,Romance",6.7,4722,Comedy,Drama,Romance,Tom Tykwer,"composer,writer,director",85,3,7200000.0,59774.0,295492.0,-6904508,4.104055555555555,2018-08-07
634,3,"Drama,Mystery,Romance",7.2,3471,Drama,Mystery,Romance,Aishwarya Dhanush,"director,writer,costume_designer",85,3,7200000.0,59774.0,295492.0,-6904508,4.104055555555555,2018-08-07
635,3,"Comedy,Drama",6.1,101,Comedy,Drama,,Pablo Stoll,"writer,director,editor",85,3,7200000.0,59774.0,295492.0,-6904508,4.104055555555555,2018-08-07
636,3,"Horror,Mystery,Thriller",3.9,166,Horror,Mystery,Thriller,Lou Simon,"writer,producer,director",85,3,7200000.0,59774.0,295492.0,-6904508,4.104055555555555,2018-08-07
637,The Host,"Action,Adventure,Drama",5.9,105633,Action,Adventure,Drama,Andrew Niccol,"writer,director,producer",68,The Host,50000000.0,26623701.0,64477051.0,14477051,128.954102,2013-03-29
638,The Host,Documentary,6.4,8,Documentary,,,Miranda Pennell,"director,writer,producer",68,The Host,50000000.0,26623701.0,64477051.0,14477051,128.954102,2013-03-29
639,A Star Is Born,"Drama,Music,Romance",7.8,249245,Drama,Music,Romance,Bradley Cooper,"actor,producer,soundtrack",5,A Star Is Born,36000000.0,215288866.0,433449571.0,397449571,1204.026586111111,2018-10-05
640,Area 51,"Horror,Sci-Fi,Thriller",4.2,11537,Horror,Sci-Fi,Thriller,Oren Peli,"producer,writer,director",81,Area 51,5000000.0,7556.0,7556.0,-4992444,0.15112,2015-05-15
641,Anonymous,"Drama,Thriller",6.9,37932,Drama,Thriller,,Roland Emmerich,"writer,producer,director",90,Anonymous,27500000.0,4463292.0,15815509.0,-11684491,57.51094181818181,2011-10-28
642,Limbo,Drama,6.0,457,Drama,,,Maria Sødahl,"director,writer,casting_director",55,Limbo,8300000.0,2160710.0,2598224.0,-5701776,31.30390361445783,2015-04-12
643,Limbo,Horror,5.2,211,Horror,,,Iván Noel,"writer,director,composer",55,Limbo,8300000.0,2160710.0,2598224.0,-5701776,31.30390361445783,2015-04-12
644,Limbo,Drama,5.6,67,Drama,,,Anna Sofie Hartmann,"director,writer,miscellaneous",55,Limbo,8300000.0,2160710.0,2598224.0,-5701776,31.30390361445783,2015-04-12
645,Contraband,"Action,Crime,Drama",6.5,111709,Action,Crime,Drama,Baltasar Kormákur,"producer,director,writer",85,Contraband,25000000.0,66528000.0,98406855.0,73406855,393.62742000000003,2012-01-13
646,The Vatican Tapes,"Horror,Thriller",5.0,14822,Horror,Thriller,,Mark Neveldine,"actor,director,writer",3,The Vatican Tapes,13000000.0,1784763.0,14929184.0,1929184,114.83987692307693,2015-07-24
647,Vacation,"Adventure,Comedy",6.1,87582,Adventure,Comedy,,Jonathan Goldstein,"producer,writer,miscellaneous",28,Vacation,31000000.0,58884188.0,102306500.0,71306500,330.0209677419355,2011-04-10
649,Vacation,"Comedy,Crime",5.4,116,Comedy,Crime,,Zach Clark,"editor,writer,director",28,Vacation,31000000.0,58884188.0,102306500.0,71306500,330.0209677419355,2011-04-10
651,Grabbers,"Comedy,Horror,Sci-Fi",6.3,15727,Comedy,Horror,Sci-Fi,Jon Wright,"director,writer",38,Grabbers,5300000.0,0.0,440821.0,-4859179,8.317377358490566,2013-07-19
652,Melancholia,"Drama,Sci-Fi",7.2,153434,Drama,Sci-Fi,,Lars Von Trier,"writer,director,producer",62,Melancholia,9400000.0,3030848.0,21817298.0,12417298,232.098914893617,2011-11-11
653,Trust,"Crime,Drama,Thriller",6.9,39422,Crime,Drama,Thriller,David Schwimmer,"actor,director,soundtrack",43,Trust,4000000.0,120016.0,120016.0,-3879984,3.0004,2011-04-01
654,Trust,Drama,7.3,10,Drama,,,Angus Benfield,"actor,producer,writer",43,Trust,4000000.0,120016.0,120016.0,-3879984,3.0004,2011-04-01
655,Trust,"Crime,Drama",6.4,30,Crime,Drama,,Sefa Ozturk,"assistant_director,writer,director",43,Trust,4000000.0,120016.0,120016.0,-3879984,3.0004,2011-04-01
656,Everything Must Go,"Comedy,Drama",6.4,45799,Comedy,Drama,,Dan Rush,"director,writer",50,Everything Must Go,5000000.0,2712131.0,2821010.0,-2178990,56.4202,2011-05-13
657,Beginners,"Comedy,Drama,Romance",7.2,83770,Comedy,Drama,Romance,Mike Mills,"soundtrack,director,writer",57,Beginners,3200000.0,5790894.0,14314407.0,11114407,447.32521875,2011-06-17
658,Elysium,"Action,Drama,Sci-Fi",6.6,395572,Action,Drama,Sci-Fi,Neill Blomkamp,"director,writer,visual_effects",92,Elysium,120000000.0,93050117.0,286192091.0,166192091,238.49340916666665,2013-08-09
659,Captain Phillips,"Biography,Drama,Thriller",7.8,387402,Biography,Drama,Thriller,Paul Greengrass,"director,producer,writer",92,Captain Phillips,55000000.0,107136417.0,220648184.0,165648184,401.1785163636364,2013-10-11
660,Hope Springs,"Comedy,Drama,Romance",6.3,38667,Comedy,Drama,Romance,David Frankel,"producer,director,writer",75,Hope Springs,30000000.0,63536011.0,133085295.0,103085295,443.61765,2012-08-07
