,original_title,runtime_minutes,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date_x
1091,The Sessions,95.0,"Biography,Comedy,Drama",7.2,39731,Biography,Comedy,Drama,Ben Lewin,"director,writer,producer",33,The Sessions,1000000.0,6002451.0,11495204.0,10495204,1149.5203999999999,2012-10-18
1092,Race,150.0,Drama,3.9,73,Drama,,,Kuku Surendran,director,90,Race,5000000.0,19115191.0,23745772.0,18745772,474.91544,2016-02-19
1094,Life,75.0,Documentary,7.8,5,Documentary,,,Patrick Epape,"director,writer,producer",51,Life,75000000.0,64062587.0,73521587.0,-1478413,98.02878266666667,2015-12-04
1100,The East,116.0,"Adventure,Drama,Thriller",6.8,46804,Adventure,Drama,Thriller,Zal Batmanglij,"writer,director,producer",99,The East,6500000.0,2274649.0,3027956.0,-3472044,46.58393846153846,2013-05-31
1101,Won'T Back Down,121.0,Drama,6.4,5915,Drama,,,Daniel Barnz,"director,writer,producer",49,Won'T Back Down,19000000.0,5310554.0,5745503.0,-13254497,30.239489473684213,2012-09-28
1103,The Amazing Spider-Man 2,142.0,"Action,Adventure,Sci-Fi",6.6,388363,Action,Adventure,Sci-Fi,Marc Webb,"producer,director,writer",56,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,508996336,354.49816799999996,2014-05-02
1104,The Judge,141.0,"Crime,Drama",7.4,162952,Crime,Drama,,David Dobkin,"producer,director,writer",41,The Judge,50000000.0,47119388.0,76119388.0,26119388,152.238776,2014-10-10
1106,Supporting Characters,87.0,Comedy,6.4,821,Comedy,,,Daniel Schechter,"writer,editor,director",11,Supporting Characters,60000.0,4917.0,4917.0,-55083,8.195,2012-01-23
1107,Sparkle,116.0,"Drama,Music",5.7,5643,Drama,Music,,Salim Akil,"director,producer,writer",96,Sparkle,10000000.0,24397469.0,24660323.0,14660323,246.60323000000002,2012-08-17
1108,X-Men: Days Of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Action,Adventure,Sci-Fi,Bryan Singer,"producer,director,writer",55,X-Men: Days Of Future Past,200000000.0,233921534.0,747862775.0,547862775,373.9313875,2014-05-23
1109,The Darkness,92.0,"Horror,Thriller",4.4,12435,Horror,Thriller,,Greg Mclean,"writer,producer,director",98,The Darkness,4000000.0,10753574.0,10898293.0,6898293,272.457325,2016-05-13
1110,The Edge Of Seventeen,104.0,"Comedy,Drama",7.3,87602,Comedy,Drama,,Kelly Fremon Craig,"writer,director,producer",86,The Edge Of Seventeen,9000000.0,14431633.0,19096003.0,10096003,212.17781111111108,2016-11-18
1111,Maggie,95.0,"Drama,Horror",5.6,38671,Drama,Horror,,Henry Hobson,"miscellaneous,art_department,director",47,Maggie,4500000.0,187112.0,1027760.0,-3472240,22.83911111111111,2015-05-08
1113,Girls Gone Dead,104.0,"Comedy,Horror",3.5,2230,Comedy,Horror,,Michael Hoffman Jr.,"editor,producer,director",74,Girls Gone Dead,500000.0,0.0,0.0,-500000,0.0,2012-03-28
1114,Spotlight,129.0,"Crime,Drama",8.1,365110,Crime,Drama,,Tom Mccarthy,"actor,producer,writer",34,Spotlight,20000000.0,45055776.0,92088460.0,72088460,460.4423,2015-11-06
1116,Parker,118.0,"Action,Crime,Thriller",6.2,105529,Action,Crime,Thriller,Taylor Hackford,"producer,director,writer",18,Parker,35000000.0,17616641.0,48543388.0,13543388,138.6953942857143,2013-01-25
1117,Flight,138.0,"Drama,Thriller",7.3,303009,Drama,Thriller,,Robert Zemeckis,"producer,writer,director",23,Flight,31000000.0,93772375.0,160558438.0,129558438,517.9304451612903,2012-11-02
1118,Miss Bala,113.0,"Crime,Drama,Thriller",6.5,8092,Crime,Drama,Thriller,Gerardo Naranjo,"director,writer,producer",81,Miss Bala,15000000.0,14998027.0,15362298.0,362298,102.41532,2011-10-01
1119,The Call,94.0,"Crime,Drama,Horror",6.7,103780,Crime,Drama,Horror,Brad Anderson,"director,producer,writer",14,The Call,12800000.0,51872378.0,69821476.0,57021476,545.48028125,2013-03-14
1121,Penguins Of Madagascar,92.0,"Adventure,Animation,Comedy",6.7,72551,Adventure,Animation,Comedy,Eric Darnell,"writer,miscellaneous,director",37,Penguins Of Madagascar,132000000.0,83350911.0,366942531.0,234942531,277.98676590909093,2014-11-26
1122,Magic Mike,110.0,"Comedy,Drama",6.1,123955,Comedy,Drama,,Steven Soderbergh,"producer,director,cinematographer",88,Magic Mike,7000000.0,113721571.0,170549753.0,163549753,2436.4250428571427,2012-06-29
1123,Bachelorette,87.0,"Comedy,Romance",5.3,43131,Comedy,Romance,,Leslye Headland,"writer,director,producer",35,Bachelorette,3000000.0,446770.0,12577401.0,9577401,419.2467,2012-09-06
1124,Pompeii,105.0,"Action,Adventure,Drama",5.5,100467,Action,Adventure,Drama,Paul W.S. Anderson,"writer,producer,director",97,Pompeii,80000000.0,23169033.0,108469033.0,28469033,135.58629125,2014-02-21
1125,Trash,114.0,"Adventure,Crime,Drama",7.2,18690,Adventure,Crime,Drama,Stephen Daldry,"producer,director,miscellaneous",46,Trash,12000000.0,17484.0,6553186.0,-5446814,54.60988333333333,2015-10-09
1126,Open Road,85.0,"Action,Drama,Thriller",5.5,1619,Action,Drama,Thriller,Marcio Garcia,"actor,producer,director",59,Open Road,3000000.0,0.0,47469.0,-2952531,1.5823,2013-05-21
1127,Phantom,98.0,"Drama,History,Thriller",5.9,12786,Drama,History,Thriller,Todd Robinson,"producer,writer,director",43,Phantom,18000000.0,1034589.0,1199510.0,-16800490,6.663944444444445,2013-03-01
1131,Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,Horror,Mystery,Thriller,Scott Derrickson,"writer,director,producer",69,Sinister,3000000.0,48086903.0,87727807.0,84727807,2924.2602333333334,2012-10-12
1132,Heaven Is For Real,99.0,"Biography,Drama,Family",5.8,24267,Biography,Drama,Family,Randall Wallace,"writer,producer,director",46,Heaven Is For Real,12000000.0,91386097.0,100916299.0,88916299,840.9691583333334,2014-04-16
1133,Black Rock,83.0,"Horror,Thriller",4.8,7596,Horror,Thriller,,Katie Aselton,"actress,producer,director",13,Black Rock,1000000.0,0.0,0.0,-1000000,0.0,2012-01-21
1134,The Big Wedding,89.0,"Comedy,Drama,Romance",5.6,44221,Comedy,Drama,Romance,Justin Zackham,"writer,producer,director",87,The Big Wedding,32500000.0,21819348.0,48425971.0,15925971,149.0029876923077,2013-04-25
1135,Seven Psychopaths,110.0,"Comedy,Crime",7.2,223493,Comedy,Crime,,Martin Mcdonagh,"writer,director,producer",36,Seven Psychopaths,13500000.0,15024049.0,33035736.0,19535736,244.70915555555558,2012-10-12
1136,Mud,130.0,Drama,7.4,156786,Drama,,,Jeff Nichols,"writer,director,producer",98,Mud,10000000.0,21590086.0,31556959.0,21556959,315.56959,2013-05-10
1137,The Brass Teapot,101.0,"Comedy,Fantasy,Thriller",6.4,13746,Comedy,Fantasy,Thriller,Ramaa Mosley,"producer,director,writer",44,The Brass Teapot,900000.0,6997.0,413733.0,-486267,45.970333333333336,2013-04-05
1138,Carrie,100.0,"Drama,Horror",5.9,125424,Drama,Horror,,Kimberly Peirce,"director,writer,producer",26,Carrie,30000000.0,35266619.0,82409520.0,52409520,274.6984,2013-10-18
1139,Indie Game: The Movie,103.0,"Documentary,Drama",7.7,19538,Documentary,Drama,,James Swirsky,"director,cinematographer,editor",92,Indie Game: The Movie,100000.0,0.0,0.0,-100000,0.0,2012-05-18
1140,The Wicked Within,84.0,Horror,4.5,1123,Horror,,,Jay Alaimo,"producer,director,writer",88,The Wicked Within,1200000.0,0.0,0.0,-1200000,0.0,2015-10-16
1141,Morgan,89.0,"Drama,Romance",6.8,1232,Drama,Romance,,Michael D. Akers,"director,editor,miscellaneous",5,Morgan,8000000.0,3915251.0,7298786.0,-701214,91.234825,2012-01-07
1145,Begin Again,68.0,"Drama,Family",7.0,57,Drama,Family,,Bill Gillane,"actor,producer,assistant_director",91,Begin Again,8000000.0,16170632.0,68838736.0,60838736,860.4842,2014-07-11
1147,Exeter,91.0,"Horror,Mystery,Thriller",4.5,5156,Horror,Mystery,Thriller,Marcus Nispel,"director,producer,writer",49,Exeter,25000.0,0.0,489792.0,464792,1959.1680000000001,2015-03-26
1148,Red Sky,100.0,"Action,Thriller",4.1,1337,Action,Thriller,,Mario Van Peebles,"actor,director,writer",27,Red Sky,25000000.0,0.0,91116.0,-24908884,0.364464,2014-03-12
1150,Drunk Wedding,81.0,Comedy,4.6,729,Comedy,,,Nick Weiss,"director,writer,assistant_director",15,Drunk Wedding,600000.0,3301.0,3301.0,-596699,0.5501666666666667,2015-05-22
1151,The Immigrant,120.0,"Drama,Romance",6.6,26618,Drama,Romance,,James Gray,"director,writer,producer",72,The Immigrant,16000000.0,2013456.0,7585011.0,-8414989,47.40631875,2013-10-06
1152,The Hunger Games: Catching Fire,146.0,"Action,Adventure,Sci-Fi",7.5,575455,Action,Adventure,Sci-Fi,Francis Lawrence,"director,producer,writer",38,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,734868047,665.2831130769231,2013-11-22
1153,The Hunger Games: Mockingjay - Part 1,123.0,"Action,Adventure,Sci-Fi",6.6,379050,Action,Adventure,Sci-Fi,Francis Lawrence,"director,producer,writer",62,The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,641575131,613.2601048,2014-11-21
1154,The Hunger Games: Mockingjay - Part 2,137.0,"Action,Adventure,Sci-Fi",6.6,252384,Action,Adventure,Sci-Fi,Francis Lawrence,"director,producer,writer",39,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,488986787,405.616741875,2015-11-18
1155,Sex Tape,94.0,"Comedy,Romance",5.1,100520,Comedy,Romance,,Jake Kasdan,"producer,director,actor",54,Sex Tape,40000000.0,38543473.0,126069509.0,86069509,315.1737725,2014-07-18
1156,Noah,138.0,"Action,Adventure,Drama",5.8,229326,Action,Adventure,Drama,Darren Aronofsky,"producer,director,writer",51,Noah,130000000.0,101200044.0,352831065.0,222831065,271.40851153846154,2013-09-09
1160,American Assassin,112.0,"Action,Thriller",6.2,57793,Action,Thriller,,Michael Cuesta,"producer,director,writer",28,American Assassin,63000000.0,36249674.0,68310140.0,5310140,108.42879365079365,2017-09-15
1161,The House,109.0,"Drama,Mystery,Thriller",4.6,50,Drama,Mystery,Thriller,Desiree Lim,"producer,director,writer",86,The House,40000000.0,25584504.0,31192425.0,-8807575,77.9810625,2017-06-30
1163,Tomorrowland,130.0,"Action,Adventure,Family",6.4,161343,Action,Adventure,Family,Brad Bird,"miscellaneous,writer,director",23,Tomorrowland,170000000.0,93436322.0,206627518.0,36627518,121.54559882352942,2015-05-22
1165,Father Figures,113.0,"Adventure,Comedy,Drama",5.5,14373,Adventure,Comedy,Drama,Lawrence Sher,"cinematographer,camera_department,director",56,Father Figures,25000000.0,17501244.0,21038441.0,-3961559,84.153764,2017-12-22
1167,Labor Day,111.0,"Drama,Romance",6.9,39242,Drama,Romance,,Jason Reitman,"producer,director,writer",19,Labor Day,18000000.0,13371528.0,14189810.0,-3810190,78.83227777777778,2013-12-27
1168,Tag,91.0,Drama,4.6,158,Drama,,,Danny Roth,"producer,casting_director,casting_department",50,Tag,28000000.0,54730625.0,77026186.0,49026186,275.0935214285714,2018-06-15
1170,Compliance,90.0,"Biography,Crime,Drama",6.4,28703,Biography,Crime,Drama,Craig Zobel,"director,producer,writer",68,Compliance,270000.0,319285.0,830700.0,560700,307.6666666666667,2012-08-24
1171,A Most Wanted Man,122.0,"Crime,Drama,Thriller",6.8,67914,Crime,Drama,Thriller,Anton Corbijn,"director,actor,art_director",76,A Most Wanted Man,15000000.0,17237855.0,36068890.0,21068890,240.45926666666668,2014-07-25
1172,King Arthur: Legend Of The Sword,126.0,"Action,Adventure,Drama",6.8,169054,Action,Adventure,Drama,Guy Ritchie,"director,producer,writer",11,King Arthur: Legend Of The Sword,175000000.0,39175066.0,139630336.0,-35369664,79.78876342857143,2017-05-12
1173,The Best Of Me,118.0,"Drama,Romance",6.7,59750,Drama,Romance,,Michael Hoffman,"director,writer,producer",42,The Best Of Me,26000000.0,26766213.0,41059418.0,15059418,157.92083846153847,2014-10-17
1174,The Neon Demon,117.0,"Horror,Thriller",6.2,72359,Horror,Thriller,,Nicolas Winding Refn,"writer,director,producer",68,The Neon Demon,7500000.0,1333124.0,3559803.0,-3940197,47.464040000000004,2016-06-14
1175,Victor Frankenstein,110.0,"Drama,Horror,Sci-Fi",6.0,47492,Drama,Horror,Sci-Fi,Paul Mcguigan,"director,producer",24,Victor Frankenstein,40000000.0,5775076.0,31124367.0,-8875633,77.8109175,2015-11-10
1176,The Cottage,88.0,"Drama,Horror,Thriller",4.8,1016,Drama,Horror,Thriller,Chris Jaymes,"actor,director,producer",84,The Cottage,5000000.0,0.0,1504960.0,-3495040,30.0992,2012-12-10
1177,Rush,123.0,"Action,Biography,Drama",8.1,393437,Action,Biography,Drama,Ron Howard,"actor,producer,director",71,Rush,38000000.0,26947624.0,98230839.0,60230839,258.50220789473684,2013-09-27
1180,The Good Dinosaur,93.0,"Adventure,Animation,Comedy",6.7,91465,Adventure,Animation,Comedy,Peter Sohn,"actor,animation_department,art_department",73,The Good Dinosaur,187500000.0,123087120.0,333771037.0,146271037,178.01121973333335,2015-11-25
1181,Pain & Gain,129.0,"Action,Comedy,Crime",6.4,187820,Action,Comedy,Crime,Michael Bay,"producer,director,actor",33,Pain & Gain,26000000.0,49875291.0,81275291.0,55275291,312.5972730769231,2013-04-26
1182,The Young And Prodigious T.S. Spivet,105.0,"Action,Adventure,Comedy",7.1,15372,Action,Adventure,Comedy,Jean-Pierre Jeunet,"director,writer,producer",82,The Young And Prodigious T.S. Spivet,33000000.0,176847.0,357687.0,-32642313,1.0838999999999999,2014-10-26
1183,Thor: The Dark World,112.0,"Action,Adventure,Fantasy",6.9,540996,Action,Adventure,Fantasy,Alan Taylor,"director,producer,writer",66,Thor: The Dark World,150000000.0,206362140.0,644602516.0,494602516,429.73501066666665,2013-11-08
1184,Geostorm,109.0,"Action,Sci-Fi,Thriller",5.3,78287,Action,Sci-Fi,Thriller,Dean Devlin,"producer,actor,director",99,Geostorm,100000000.0,33700160.0,220796009.0,120796009,220.79600899999997,2017-10-20
1185,Pitch Perfect,112.0,"Comedy,Music,Romance",7.2,256565,Comedy,Music,Romance,Jason Moore,"director,actor,writer",75,Pitch Perfect,17000000.0,65001093.0,116044347.0,99044347,682.613805882353,2012-09-28
1186,Cloudy With A Chance Of Meatballs 2,95.0,"Adventure,Animation,Comedy",6.4,81010,Adventure,Animation,Comedy,Cody Cameron,"actor,animation_department,art_department",13,Cloudy With A Chance Of Meatballs 2,78000000.0,119793567.0,274392649.0,196392649,351.7854474358974,2013-09-27
1187,Robot & Frank,89.0,"Comedy,Crime,Drama",7.1,59229,Comedy,Crime,Drama,Jake Schreier,"director,producer,actor",26,Robot & Frank,2500000.0,3317468.0,4934356.0,2434356,197.37424,2012-08-16
1188,Chernobyl Diaries,86.0,"Horror,Mystery,Thriller",5.0,60304,Horror,Mystery,Thriller,Bradley Parker,"visual_effects,director,art_department",18,Chernobyl Diaries,1000000.0,18119640.0,42411721.0,41411721,4241.1721,2012-05-25
1189,Kevin Hart: Laugh At My Pain,89.0,"Comedy,Documentary",7.4,5081,Comedy,Documentary,,Leslie Small,"director,producer,editor",75,Kevin Hart: Laugh At My Pain,750000.0,7706436.0,7712436.0,6962436,1028.3248,2011-09-09
1190,Hell Fest,89.0,Horror,5.5,8662,Horror,,,Gregory Plotkin,"editorial_department,editor,producer",20,Hell Fest,5500000.0,11107431.0,18119231.0,12619231,329.4405636363636,2018-09-28
1191,Machete Kills,107.0,"Action,Crime,Sci-Fi",5.6,69968,Action,Crime,Sci-Fi,Robert Rodriguez,"producer,writer,director",58,Machete Kills,20000000.0,8008161.0,18273009.0,-1726991,91.365045,2013-10-11
1192,Neighbors,97.0,Comedy,6.3,266020,Comedy,,,Nicholas Stoller,"producer,writer,director",64,Neighbors,18000000.0,150086800.0,270944428.0,252944428,1505.2468222222221,2014-05-09
1194,War Dogs,114.0,"Comedy,Crime,Drama",7.1,154029,Comedy,Crime,Drama,Todd Phillips,"producer,director,writer",45,War Dogs,50000000.0,43034523.0,86234503.0,36234503,172.46900599999998,2016-08-19
1195,Breathless,92.0,"Comedy,Thriller",5.1,1238,Comedy,Thriller,,Jesse Baget,"producer,writer,director",9,Breathless,7000000.0,19910002.0,19910002.0,12910002,284.42859999999996,2012-01-04
1197,The Frozen Ground,105.0,"Crime,Drama,Mystery",6.4,51915,Crime,Drama,Mystery,Scott Walker,"director,writer,producer",22,The Frozen Ground,19200000.0,0.0,5617460.0,-13582540,29.257604166666667,2013-08-23
1198,The 33,127.0,"Biography,Drama,History",6.9,32263,Biography,Drama,History,Patricia Riggen,"director,producer,miscellaneous",78,The 33,25000000.0,12227722.0,28400715.0,3400715,113.60285999999999,2015-11-09
1199,Believe,96.0,"Drama,Sport",5.7,695,Drama,Sport,,David Scheinmann,"director,writer,cinematographer",13,Believe,3500000.0,890303.0,890303.0,-2609697,25.437228571428573,2013-09-27
1203,No Good Deed,84.0,"Action,Crime,Drama",5.6,16045,Action,Crime,Drama,Sam Miller,"actor,director,producer",44,No Good Deed,13200000.0,52543632.0,54323210.0,41123210,411.5394696969697,2014-09-12
1204,Banshee Chapter,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,Horror,Sci-Fi,Thriller,Blair Erickson,"director,writer,editorial_department",30,Banshee Chapter,950000.0,0.0,78122.0,-871878,8.223368421052632,2013-11-06
1205,Guardians Of The Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,Action,Adventure,Comedy,James Gunn,"writer,producer,director",14,Guardians Of The Galaxy,170000000.0,333172112.0,770867516.0,600867516,453.45148,2014-08-01
1206,Walter,94.0,"Comedy,Drama",5.4,1747,Comedy,Drama,,Anna Mastro,"director,producer,miscellaneous",96,Walter,700000.0,0.0,0.0,-700000,0.0,2015-03-13
1207,The Smurfs 2,105.0,"Adventure,Animation,Comedy",5.4,34229,Adventure,Animation,Comedy,Raja Gosnell,"editor,director,editorial_department",33,The Smurfs 2,110000000.0,71017784.0,348547523.0,238547523,316.86138454545454,2013-07-31
1208,All Is Lost,106.0,"Action,Adventure,Drama",6.9,70888,Action,Adventure,Drama,J.C. Chandor,"producer,director,writer",43,All Is Lost,8500000.0,6263670.0,10386814.0,1886814,122.19781176470588,2013-10-18
1209,Closer To The Moon,112.0,"Comedy,Crime,Drama",7.0,3585,Comedy,Crime,Drama,Nae Caranfil,"writer,director,actor",10,Closer To The Moon,1500000.0,0.0,5396.0,-1494604,0.35973333333333335,2013-11-29
1210,Diary Of A Wimpy Kid: Dog Days,94.0,"Comedy,Family",6.3,19571,Comedy,Family,,David Bowers,"animation_department,director,writer",17,Diary Of A Wimpy Kid: Dog Days,22000000.0,49008662.0,77229695.0,55229695,351.0440681818182,2012-08-03
1211,Identity Thief,111.0,"Adventure,Comedy,Crime",5.7,115624,Adventure,Comedy,Crime,Seth Gordon,"producer,miscellaneous,director",32,Identity Thief,35000000.0,134506920.0,175361578.0,140361578,501.03308000000004,2013-02-09
1212,Non-Stop,106.0,"Action,Mystery,Thriller",7.0,234717,Action,Mystery,Thriller,Jaume Collet-Serra,"director,producer",2,Non-Stop,50000000.0,91742160.0,222383055.0,172383055,444.76611,2013-11-29
1214,Straight A'S,91.0,"Comedy,Drama",5.7,4197,Comedy,Drama,,James Cox,"director,writer,actor",87,Straight A'S,2000000.0,0.0,0.0,-2000000,0.0,2013-03-19
1215,12 Years A Slave,134.0,"Biography,Drama,History",8.1,577301,Biography,Drama,History,Steve Mcqueen,"director,writer,producer",18,12 Years A Slave,20000000.0,56671993.0,181025343.0,161025343,905.1267149999999,2013-10-30
1216,The Finest Hours,117.0,"Action,Drama,History",6.8,55981,Action,Drama,History,Craig Gillespie,"director,producer",36,The Finest Hours,70000000.0,27569558.0,49252761.0,-20747239,70.36108714285714,2016-01-29
1217,The Reluctant Fundamentalist,130.0,"Drama,Thriller",6.9,12511,Drama,Thriller,,Mira Nair,"director,producer,actress",42,The Reluctant Fundamentalist,15000000.0,528731.0,528731.0,-14471269,3.524873333333333,2013-03-17
