,index,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_year,genre,main_genre,genre2,genre3,genre4,genre5,genre6,genre7,release_month
56,73,['27'],22894,12.032,2010-01-22,5.3,1154,37,Legion,26.0,40168080.0,67647574.0,41.647574,260.1829769230769,2010,['Horror'],Horror,,,,,,,1
57,75,"['10749', '35']",25195,11.821,2010-01-08,6.7,990,40,Leap Year,19.0,25918920.0,32618920.0,13.61892,171.67852631578947,2010,"['Romance', 'Comedy']",Romance,Comedy,,,,,,1
58,76,"['18', '35', '10749']",63555,2.563,2011-06-24,5.6,30,40,Leap Year,19.0,25918920.0,32618920.0,13.61892,171.67852631578947,2011,"['Drama', 'Comedy', 'Romance']",Drama,Comedy,Romance,,,,,6
59,77,"['35', '10749', '18']",38408,11.806,2010-10-02,6.8,1748,64,Life As We Know It,38.0,53374681.0,105887837.0,67.887837,278.6522026315789,2010,"['Comedy', 'Romance', 'Drama']",Comedy,Romance,Drama,,,,,10
60,78,"['18', '53']",38363,11.624,2010-05-20,6.6,384,90,Fair Game,50.0,11497497.0,26097497.0,-23.902503,52.194994,2010,"['Drama', 'Thriller']",Drama,Thriller,,,,,,5
61,79,"['10752', '28', '12', '18', '53']",22972,11.519,2010-03-11,6.4,1176,98,Green Zone,100.0,35497337.0,97523020.0,-2.47698,97.52302,2010,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",War,Action,Adventure,Drama,Thriller,,,3
62,80,"['18', '10749']",23169,11.453,2010-03-12,7.1,2079,51,Remember Me,16.0,19068240.0,56506120.0,40.50612,353.16325,2010,"['Drama', 'Romance']",Drama,Romance,,,,,,3
63,81,"['12', '18', '53']",44115,11.435,2010-11-05,7.0,4469,6,127 Hours,18.0,18335230.0,60217171.0,42.217171,334.5398388888889,2010,"['Adventure', 'Drama', 'Thriller']",Adventure,Drama,Thriller,,,,,11
64,82,"['35', '27']",43593,11.302,2010-08-20,5.3,1029,52,Piranha 3D,24.0,25003155.0,83660160.0,59.66016,348.584,2010,"['Comedy', 'Horror']",Comedy,Horror,,,,,,8
65,83,"['12', '18', '28', '14']",37861,11.26,2010-07-16,6.0,582,7,Valhalla Rising,5.7,30638.0,731613.0,-4.968387,12.835315789473684,2010,"['Adventure', 'Drama', 'Action', 'Fantasy']",Adventure,Drama,Action,Fantasy,,,,7
66,84,"['80', '18', '9648', '53']",12201,11.252,2010-01-29,6.3,794,8,Edge Of Darkness,60.0,43313890.0,82812456.0,22.812456,138.02076,2010,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime,Drama,Mystery,Thriller,,,,1
67,86,"['35', '10749']",32856,11.187,2010-02-11,5.8,1907,70,Valentine'S Day,52.0,110485654.0,217569328.0,165.569328,418.40255384615386,2010,"['Comedy', 'Romance']",Comedy,Romance,,,,,,2
68,87,"['10749', '18', '53', '80']",43539,11.147,2010-11-19,7.0,1469,49,The Next Three Days,30.0,21148651.0,67255916.0,37.255916,224.1863866666667,2010,"['Romance', 'Drama', 'Thriller', 'Crime']",Romance,Drama,Thriller,Crime,,,,11
69,88,"['18', '53', '9648']",26388,10.888,2010-09-24,6.6,1487,2,Buried,1.98765,1044143.0,21270290.0,19.28264,1070.1225064774983,2010,"['Drama', 'Thriller', 'Mystery']",Drama,Thriller,Mystery,,,,,9
70,89,"['35', '12', '10751', '14']",38745,10.768,2010-12-25,5.1,1282,13,Gulliver'S Travels,112.0,42779261.0,232017848.0,120.017848,207.15879285714288,2010,"['Comedy', 'Adventure', 'Family', 'Fantasy']",Comedy,Adventure,Family,Fantasy,,,,12
71,90,"['16', '12', '10751', '14']",41216,10.754,2010-09-24,6.6,1223,90,Legend Of The Guardians: The Owls Of Ga'Hoole,100.0,55675313.0,139716717.0,39.716717,139.716717,2010,"['Animation', 'Adventure', 'Family', 'Fantasy']",Animation,Adventure,Family,Fantasy,,,,9
72,91,"['28', '35', '10751']",23172,10.746,2010-01-15,5.7,650,68,The Spy Next Door,28.0,24307106.0,46752858.0,18.752858,166.97449285714285,2010,"['Action', 'Comedy', 'Family']",Action,Comedy,Family,,,,,1
73,92,"['35', '99', '28']",16290,10.715,2010-10-15,6.3,655,98,Jackass 3D,20.0,117229692.0,171685793.0,151.685793,858.4289650000001,2010,"['Comedy', 'Documentary', 'Action']",Comedy,Documentary,Action,,,,,10
74,93,"['35', '18', '10749']",38357,10.595,2010-11-10,6.3,717,73,Morning Glory,40.0,31011732.0,59795070.0,19.79507,149.487675,2010,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,11
75,94,"['53', '80', '18', '28']",25941,10.555,2010-04-30,6.8,505,81,Harry Brown,7.3,1818681.0,12023606.0,4.723606,164.70693150684932,2010,"['Thriller', 'Crime', 'Drama', 'Action']",Thriller,Crime,Drama,Action,,,,4
76,95,"['35', '10751', '28', '14']",39691,10.544,2010-07-30,4.9,273,17,Cats & Dogs: The Revenge Of Kitty Galore,85.0,43585753.0,113026383.0,28.026383,132.97221529411763,2010,"['Comedy', 'Family', 'Action', 'Fantasy']",Comedy,Family,Action,Fantasy,,,,7
77,96,['18'],45317,10.395,2010-12-17,7.3,2325,68,The Fighter,11.0,93617009.0,129262388.0,118.262388,1175.112618181818,2010,['Drama'],Drama,,,,,,,12
78,97,"['28', '53', '10749']",37710,10.307,2010-12-10,6.1,3133,85,The Tourist,100.0,67631157.0,278731369.0,178.731369,278.731369,2010,"['Action', 'Thriller', 'Romance']",Action,Thriller,Romance,,,,,12
79,98,"['28', '35', '53', '10749']",37821,10.221,2010-06-04,5.8,1314,54,Killers,75.0,47059963.0,95572749.0,20.572749,127.430332,2010,"['Action', 'Comedy', 'Thriller', 'Romance']",Action,Comedy,Thriller,Romance,,,,6
80,99,"['35', '10749']",38303,10.208,2010-09-24,6.2,734,78,You Again,20.0,25702053.0,32838945.0,12.838945,164.194725,2010,"['Comedy', 'Romance']",Comedy,Romance,,,,,,9
81,100,"['27', '9648', '53']",44040,10.203,2010-09-17,5.9,1516,71,Devil,10.0,33679655.0,63354114.0,53.354114,633.54114,2010,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,,9
82,101,"['28', '12', '80', '9648', '53']",34813,10.202,2010-04-23,6.2,844,44,The Losers,25.0,23591432.0,29863840.0,4.86384,119.45536,2010,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Action,Adventure,Crime,Mystery,Thriller,,,4
83,102,"['18', '53', '80', '9648']",44629,10.188,2010-08-13,6.8,399,71,Animal Kingdom,4.2,1044039.0,8078683.0,3.878683,192.3495952380952,2010,"['Drama', 'Thriller', 'Crime', 'Mystery']",Drama,Thriller,Crime,Mystery,,,,8
84,103,"['18', '53', '878']",43933,10.175,2010-10-29,6.2,848,50,Monsters,0.5,237301.0,5639730.0,5.13973,1127.946,2010,"['Drama', 'Thriller', 'ScienceFiction']",Drama,Thriller,ScienceFiction,,,,,10
85,105,"['878', '35', '12']",23048,10.15,2010-03-26,6.0,1383,10,Hot Tub Time Machine,36.0,50269859.0,65967750.0,29.96775,183.24375,2010,"['ScienceFiction', 'Comedy', 'Adventure']",ScienceFiction,Comedy,Adventure,,,,,3
86,106,"['18', '10749', '878']",42188,10.012,2010-09-15,6.8,1294,29,Never Let Me Go,15.0,2434652.0,11173718.0,-3.826282,74.49145333333334,2010,"['Drama', 'Romance', 'ScienceFiction']",Drama,Romance,ScienceFiction,,,,,9
87,107,"['35', '18']",43923,10.01,2010-10-08,7.0,1324,1,It'S Kind Of A Funny Story,8.0,6363628.0,6632950.0,-1.36705,82.911875,2010,"['Comedy', 'Drama']",Comedy,Drama,,,,,,10
88,108,['18'],38167,9.991,2010-08-12,6.0,1208,67,Eat Pray Love,60.0,80574010.0,206598789.0,146.598789,344.331315,2010,['Drama'],Drama,,,,,,,8
89,109,"['35', '18', '10749']",37786,9.986,2010-05-27,5.9,809,16,Sex And The City 2,95.0,95347692.0,294680778.0,199.680778,310.1902926315789,2010,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,5
90,110,"['35', '80', '18']",37495,9.968,2010-11-05,7.0,621,79,Four Lions,3.75,310007.0,2436111.0,-1.313889,64.96296000000001,2010,"['Comedy', 'Crime', 'Drama']",Comedy,Crime,Drama,,,,,11
91,111,"['28', '35', '18']",27573,9.861,2010-03-19,5.7,1627,73,The Bounty Hunter,45.0,67061228.0,135808837.0,90.808837,301.7974155555556,2010,"['Action', 'Comedy', 'Drama']",Action,Comedy,Drama,,,,,3
92,112,['18'],39013,9.824,2010-06-11,6.9,931,8,Winter'S Bone,2.0,6531503.0,16131551.0,14.131551,806.5775500000001,2010,['Drama'],Drama,,,,,,,6
93,113,"['18', '27', '9648', '53']",43931,9.808,2010-10-08,5.4,247,68,My Soul To Take,25.0,14744435.0,16727470.0,-8.27253,66.90988,2010,"['Drama', 'Horror', 'Mystery', 'Thriller']",Drama,Horror,Mystery,Thriller,,,,10
94,114,"['27', '9648', '53']",23437,9.795,2010-04-30,5.5,1408,49,A Nightmare On Elm Street,35.0,63075011.0,117729621.0,82.729621,336.3703457142857,2010,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,,4
95,115,"['10749', '18']",43949,9.781,2010-08-06,7.4,859,22,Flipped,14.0,1755212.0,4289993.0,-9.710007,30.642807142857144,2010,"['Romance', 'Drama']",Romance,Drama,,,,,,8
96,117,"['18', '27', '9648']",41402,9.716,2010-10-01,6.7,1061,38,Let Me In,20.0,12134935.0,28270399.0,8.270399,141.351995,2010,"['Drama', 'Horror', 'Mystery']",Drama,Horror,Mystery,,,,,10
97,119,['53'],44363,9.678,2010-02-05,5.8,987,56,Frozen,150.0,400738009.0,1272469910.0,1122.46991,848.3132733333333,2010,['Thriller'],Thriller,,,,,,,2
98,120,"['16', '12', '10751']",109445,26.183000000000003,2013-11-27,7.3,9767,56,Frozen,150.0,400738009.0,1272469910.0,1122.46991,848.3132733333333,2013,"['Animation', 'Adventure', 'Family']",Animation,Adventure,Family,,,,,11
99,121,"['14', '18']",34647,9.563,2010-09-24,7.3,773,77,Enter The Void,16.0,337997.0,1467278.0,-14.532722,9.1704875,2010,"['Fantasy', 'Drama']",Fantasy,Drama,,,,,,9
100,122,['99'],44639,9.514,2010-10-08,7.8,466,17,Inside Job,2.0,4311834.0,7799257.0,5.799257,389.96285,2010,['Documentary'],Documentary,,,,,,,10
101,124,"['18', '27']",133805,13.686,2013-10-18,5.9,2681,26,Carrie,30.0,35266619.0,82409520.0,52.40952,274.6984,2013,"['Drama', 'Horror']",Drama,Horror,,,,,,10
102,125,"['18', '10749']",37950,9.454,2010-05-01,6.9,1398,31,Charlie St. Cloud,44.0,31206263.0,48478084.0,4.478084,110.17746363636364,2010,"['Drama', 'Romance']",Drama,Romance,,,,,,5
103,126,"['35', '10751']",35169,9.45,2010-04-02,4.6,283,17,Furry Vengeance,35.0,17630465.0,39340177.0,4.340177,112.4005057142857,2010,"['Comedy', 'Family']",Comedy,Family,,,,,,4
